C0001 Cafe,Donuts,Frites,Coca
C0096 Milk-Shake,Coca,Glace,Salade
C0097 Nuggets,Milk-Shake
C0098 Frites,Cafe,Donuts
C0099 Cookies,Milk-Shake,Eau
C0100 Glace,Sprite,Eau
C0101 Cafe,Donuts
C0102 Nuggets,Wrap
C0103 Cookies,Nuggets,Milk-Shake
C0104 Donuts,Eau
C0105 Sprite,Cafe,Wrap
C0106 Frites,Sprite,Eau,Hamburger
C0107 Frites,Sprite,Coca,Wrap
C0108 Cafe,Milk-Shake
C0109 Potatoes,Eau,Salade,Nuggets
C0110 Coca,Frites,Milk-Shake,Cookies,Hamburger
C0111 Coca,Hamburger,Frites,Salade,Sprite
C0112 Eau,Nuggets,Salade
C0113 Cookies,Milk-Shake
C0114 Sprite,Nuggets
C0115 Cookies,Milk-Shake
C0116 Donuts,Cookies,Milk-Shake
C0117 Frites,Sprite,Glace,Hamburger
C0118 Glace,Cookies
C0119 Frites,Donuts
C0120 Milk-Shake,Cookies,Nuggets
C0121 Cafe,Donuts,Glace,Milk-Shake,Coca
C0122 Cookies,Milk-Shake
C0123 Nuggets,Cookies,Milk-Shake
C0124 Potatoes,Salade,Eau
C0125 Cookies,Donuts,Cafe,Frites
C0126 Milk-Shake,Cookies,Donuts
C0127 Milk-Shake,Wrap,Sprite
C0128 Cookies,Nuggets
C0129 Glace,Coca
C0130 Cookies,Milk-Shake,Nuggets
C0131 Potatoes,Milk-Shake,Nuggets
C0132 Cookies,Milk-Shake
C0133 Wrap,Donuts,Sprite
C0134 Salade,Eau,Cookies,Milk-Shake
C0135 Nuggets,Salade,Eau,Milk-Shake
C0136 Frites,Hamburger,Donuts,Cafe,Coca
C0137 Potatoes,Cookies,Wrap,Sprite
C0138 Wrap,Sprite,Cookies,Milk-Shake
C0139 Hamburger,Eau,Potatoes
C0140 Cookies,Milk-Shake
C0141 Donuts,Cafe
C0142 Wrap,Eau,Potatoes
C0143 Sprite,Cafe,Potatoes,Wrap
C0144 Cafe,Potatoes
C0145 Eau,Cafe,Nuggets
C0146 Salade,Eau,Nuggets
C0147 Sprite,Eau,Cookies
C0148 Milk-Shake,Donuts
C0149 Salade,Eau,Nuggets,Sprite
C0150 Donuts,Eau
C0151 Cafe,Wrap,Potatoes
C0152 Cookies,Milk-Shake
C0153 Milk-Shake,Eau,Nuggets,Salade
C0154 Glace,Eau,Cookies,Salade
C0155 Wrap,Potatoes,Nuggets,Sprite
C0156 Salade,Cafe
C0157 Salade,Donuts,Wrap,Cookies
C0158 Nuggets,Milk-Shake,Cookies
C0159 Cafe,Eau,Milk-Shake,Donuts
C0160 Cookies,Sprite
C0161 Donuts,Cafe
C0162 Cafe,Donuts
C0163 Cookies,Sprite,Potatoes,Milk-Shake
C0164 Eau,Nuggets,Salade
C0165 Eau,Nuggets
C0166 Cafe,Donuts
C0167 Salade,Glace,Wrap,Nuggets
C0168 Nuggets,Glace,Salade
C0169 Salade,Potatoes,Hamburger,Eau
C0170 Eau,Salade,Hamburger,Nuggets
C0171 Coca,Salade,Eau,Sprite
C0172 Cafe,Donuts,Salade
C0173 Donuts,Milk-Shake
C0174 Sprite,Donuts,Potatoes
C0175 Hamburger,Potatoes,Cookies,Sprite
C0176 Nuggets,Glace,Cookies
C0177 Donuts,Hamburger
C0178 Donuts,Wrap
C0179 Nuggets,Frites,Glace,Donuts
C0180 Wrap,Sprite,Potatoes
C0181 Sprite,Salade,Potatoes
C0182 Eau,Nuggets
C0183 Nuggets,Wrap,Potatoes,Hamburger
C0184 Sprite,Hamburger,Eau
C0185 Cafe,Milk-Shake,Donuts
C0186 Wrap,Potatoes,Sprite,Eau
C0187 Cafe,Eau,Donuts
C0188 Eau,Cookies,Potatoes
C0189 Salade,Potatoes,Cafe
C0190 Eau,Coca,Donuts
C0191 Milk-Shake,Cookies,Glace
C0192 Cookies,Wrap,Milk-Shake,Nuggets
C0193 Eau,Milk-Shake
C0194 Hamburger,Glace,Frites,Coca
C0195 Wrap,Eau,Salade
C0196 Eau,Frites,Glace,Coca,Milk-Shake
C0197 Donuts,Glace,Frites,Cafe,Coca
C0198 Hamburger,Eau,Cafe,Donuts
C0199 Cookies,Glace,Eau
C0200 Eau,Wrap
C0201 Sprite,Wrap,Potatoes
C0202 Donuts,Cafe,Nuggets
C0203 Potatoes,Sprite,Wrap,Eau
C0204 Cookies,Hamburger,Glace,Frites,Potatoes
C0205 Donuts,Cookies,Cafe
C0206 Cafe,Donuts,Potatoes
C0207 Milk-Shake,Cookies
C0208 Sprite,Milk-Shake,Donuts
C0209 Cookies,Glace
C0210 Sprite,Donuts,Cookies,Potatoes
C0211 Nuggets,Milk-Shake,Frites,Salade
C0212 Milk-Shake,Sprite,Wrap
C0213 Glace,Sprite
C0214 Cafe,Cookies
C0215 Cafe,Nuggets
C0216 Potatoes,Sprite,Wrap
C0217 Milk-Shake,Coca
C0218 Donuts,Cafe
C0219 Cafe,Glace,Eau,Potatoes
C0220 Cafe,Donuts
C0221 Cafe,Frites,Wrap
C0222 Glace,Hamburger,Potatoes,Frites
C0223 Glace,Hamburger,Frites,Cafe
C0224 Nuggets,Donuts
C0225 Eau,Frites,Cafe
C0226 Hamburger,Coca,Cafe
C0227 Sprite,Potatoes,Milk-Shake
C0228 Salade,Sprite,Nuggets,Eau
C0229 Glace,Frites,Wrap,Salade
C0230 Nuggets,Salade,Eau,Frites
C0231 Cookies,Eau,Nuggets
C0232 Cafe,Cookies,Frites
C0233 Salade,Milk-Shake
C0234 Coca,Cafe
C0235 Potatoes,Frites,Glace
C0236 Nuggets,Wrap
C0237 Potatoes,Cookies,Sprite,Nuggets
C0238 Sprite,Potatoes,Wrap
C0239 Cookies,Salade,Glace,Hamburger
C0240 Milk-Shake,Donuts,Potatoes,Cookies
C0241 Nuggets,Salade,Milk-Shake
C0242 Eau,Nuggets,Salade,Milk-Shake
C0243 Sprite,Cookies
C0244 Donuts,Wrap,Salade
C0245 Cookies,Donuts,Coca,Cafe,Frites
C0246 Eau,Salade,Cafe,Nuggets
C0247 Cookies,Potatoes,Wrap
C0248 Milk-Shake,Cookies,Donuts
C0249 Eau,Salade,Glace,Nuggets
C0250 Cookies,Hamburger
C0251 Salade,Sprite,Cafe
C0252 Cafe,Hamburger,Wrap,Glace
C0253 Salade,Eau,Cookies
C0254 Cookies,Frites
C0255 Cafe,Wrap
C0256 Eau,Hamburger,Potatoes
C0257 Cafe,Glace,Donuts
C0258 Cookies,Milk-Shake
C0259 Milk-Shake,Eau,Nuggets
C0260 Frites,Coca,Glace,Sprite
C0261 Coca,Donuts,Cafe
C0262 Potatoes,Wrap,Sprite,Nuggets
C0263 Nuggets,Potatoes
C0264 Nuggets,Salade,Cookies
C0265 Milk-Shake,Wrap,Sprite,Potatoes
C0266 Frites,Cookies,Donuts,Glace,Milk-Shake
C0267 Sprite,Cafe,Potatoes
C0268 Donuts,Cookies
C0269 Cookies,Milk-Shake
C0270 Donuts,Frites,Glace
C0271 Wrap,Sprite,Milk-Shake
C0272 Potatoes,Eau
C0273 Frites,Donuts,Glace,Milk-Shake
C0274 Donuts,Cafe
C0275 Milk-Shake,Nuggets
C0276 Milk-Shake,Hamburger,Glace,Cafe,Cookies
C0277 Coca,Cookies,Frites,Glace
C0278 Wrap,Donuts,Eau,Glace
C0279 Donuts,Hamburger,Glace,Wrap
C0280 Nuggets,Donuts,Salade
C0281 Sprite,Cookies,Wrap,Potatoes
C0282 Cafe,Frites
C0283 Cafe,Donuts,Nuggets
C0284 Cafe,Nuggets,Donuts,Eau
C0285 Cookies,Wrap,Potatoes,Sprite
C0286 Wrap,Hamburger,Frites,Milk-Shake
C0287 Milk-Shake,Donuts
C0288 Hamburger,Milk-Shake
C0289 Sprite,Glace
C0290 Eau,Wrap,Nuggets,Salade
C0291 Milk-Shake,Cookies,Cafe
C0292 Hamburger,Coca,Glace,Milk-Shake
C0293 Cafe,Nuggets,Salade,Cookies
C0294 Eau,Glace,Hamburger,Frites
C0295 Hamburger,Eau,Wrap
C0296 Wrap,Cookies,Potatoes
C0297 Salade,Nuggets,Eau
C0298 Milk-Shake,Nuggets,Cafe,Glace
C0299 Cookies,Milk-Shake,Sprite
C0300 Milk-Shake,Donuts,Cafe
C0301 Donuts,Cafe
C0302 Cookies,Salade,Hamburger,Glace
C0303 Cafe,Cookies
C0304 Nuggets,Wrap,Milk-Shake
C0305 Cookies,Donuts,Glace,Coca
C0306 Coca,Salade,Hamburger,Frites
C0307 Eau,Salade,Nuggets,Frites
C0308 Milk-Shake,Cookies,Nuggets
C0309 Glace,Sprite,Frites
C0310 Nuggets,Wrap,Salade,Cookies
C0311 Donuts,Milk-Shake,Cafe
C0312 Wrap,Potatoes,Salade,Coca
C0313 Frites,Cafe
C0314 Potatoes,Nuggets,Sprite,Wrap
C0315 Nuggets,Cookies
C0316 Nuggets,Milk-Shake,Cookies
C0317 Milk-Shake,Hamburger,Eau
C0318 Cookies,Milk-Shake
C0319 Frites,Cafe,Donuts,Hamburger
C0320 Coca,Potatoes,Donuts
C0321 Wrap,Cafe,Milk-Shake
C0322 Sprite,Cafe,Milk-Shake,Hamburger,Cookies
C0323 Cafe,Glace
C0324 Eau,Salade,Nuggets
C0325 Nuggets,Milk-Shake,Wrap
C0326 Cafe,Coca,Nuggets
C0327 Cafe,Hamburger,Frites,Glace
C0328 Frites,Salade,Milk-Shake
C0329 Frites,Eau
C0330 Eau,Nuggets,Donuts,Salade
C0331 Frites,Potatoes,Glace
C0332 Frites,Milk-Shake,Glace
C0333 Cookies,Glace
C0334 Donuts,Frites
C0335 Hamburger,Frites,Milk-Shake,Coca,Salade
C0336 Milk-Shake,Frites,Cookies
C0337 Nuggets,Salade,Hamburger,Eau
C0338 Wrap,Donuts
C0339 Hamburger,Glace,Frites,Nuggets
C0340 Cookies,Cafe,Milk-Shake
C0341 Salade,Milk-Shake,Wrap
C0342 Cafe,Coca
C0343 Milk-Shake,Cookies,Hamburger,Salade
C0344 Salade,Nuggets,Milk-Shake
C0345 Cafe,Donuts
C0346 Donuts,Cookies
C0347 Frites,Salade
C0348 Glace,Cookies
C0349 Donuts,Cafe
C0350 Sprite,Coca,Glace,Frites
C0351 Wrap,Sprite,Potatoes
C0352 Hamburger,Coca,Glace
C0353 Sprite,Potatoes,Wrap
C0354 Salade,Milk-Shake,Nuggets
C0355 Milk-Shake,Eau,Hamburger,Nuggets
C0356 Cafe,Cookies
C0357 Salade,Frites,Eau,Sprite
C0358 Glace,Potatoes,Cafe
C0359 Wrap,Milk-Shake
C0360 Eau,Milk-Shake,Nuggets
C0361 Milk-Shake,Eau,Salade
C0362 Donuts,Cookies
C0363 Potatoes,Wrap,Sprite
C0364 Milk-Shake,Eau,Cookies
C0365 Salade,Cookies
C0366 Frites,Salade,Glace,Nuggets
C0367 Milk-Shake,Hamburger,Frites,Glace,Cookies
C0368 Milk-Shake,Nuggets,Salade
C0369 Salade,Eau,Nuggets,Wrap
C0370 Hamburger,Potatoes,Wrap,Sprite
C0371 Nuggets,Eau,Cafe
C0372 Cookies,Potatoes
C0373 Cafe,Nuggets,Potatoes
C0374 Donuts,Coca,Potatoes
C0375 Milk-Shake,Glace
C0376 Hamburger,Potatoes,Cookies,Milk-Shake
C0377 Potatoes,Wrap,Sprite
C0378 Milk-Shake,Coca,Glace,Hamburger,Salade
C0379 Cookies,Sprite,Nuggets
C0380 Wrap,Cafe,Potatoes,Milk-Shake
C0381 Cafe,Frites
C0382 Cafe,Donuts,Milk-Shake
C0383 Cookies,Milk-Shake,Donuts,Cafe
C0384 Nuggets,Eau,Frites
C0385 Potatoes,Salade,Sprite
C0386 Salade,Cookies
C0387 Milk-Shake,Cookies,Wrap
C0388 Potatoes,Wrap,Donuts
C0389 Cafe,Donuts
C0390 Potatoes,Milk-Shake,Sprite
C0391 Glace,Donuts
C0392 Cafe,Donuts,Sprite
C0393 Cookies,Milk-Shake,Wrap
C0394 Potatoes,Frites,Cafe
C0395 Potatoes,Wrap,Sprite,Eau
C0396 Salade,Nuggets,Eau,Hamburger
C0397 Milk-Shake,Glace,Cookies
C0398 Sprite,Cookies
C0399 Hamburger,Donuts,Potatoes,Nuggets
C0400 Milk-Shake,Cookies
C0401 Milk-Shake,Nuggets,Eau,Cafe
C0402 Sprite,Wrap,Potatoes
C0403 Glace,Cookies
C0404 Coca,Milk-Shake
C0405 Salade,Donuts,Nuggets,Eau
C0406 Cookies,Milk-Shake
C0407 Frites,Potatoes,Eau
C0408 Milk-Shake,Nuggets
C0409 Eau,Cookies,Milk-Shake,Coca
C0410 Potatoes,Glace,Wrap,Frites
C0411 Donuts,Nuggets,Salade
C0412 Milk-Shake,Cafe
C0413 Hamburger,Potatoes
C0414 Glace,Donuts,Eau,Milk-Shake
C0415 Eau,Nuggets,Salade,Donuts
C0416 Frites,Hamburger,Coca,Cafe
C0417 Hamburger,Frites,Potatoes
C0418 Cafe,Donuts,Hamburger
C0419 Glace,Salade,Sprite,Potatoes
C0420 Donuts,Milk-Shake
C0421 Cafe,Frites
C0422 Wrap,Cookies,Sprite
C0423 Eau,Salade,Nuggets
C0424 Eau,Glace,Nuggets,Milk-Shake
C0425 Sprite,Hamburger,Wrap
C0426 Nuggets,Donuts,Hamburger
C0427 Coca,Cookies,Salade,Eau
C0428 Cookies,Milk-Shake
C0429 Cookies,Frites
C0430 Hamburger,Frites,Potatoes,Sprite
C0431 Milk-Shake,Sprite,Salade,Wrap
C0432 Wrap,Hamburger,Nuggets,Eau
C0433 Milk-Shake,Cookies
C0434 Nuggets,Wrap,Salade
C0435 Potatoes,Salade,Wrap,Nuggets
C0436 Donuts,Coca
C0437 Sprite,Cafe,Donuts
C0438 Donuts,Frites
C0439 Sprite,Coca,Milk-Shake
C0440 Eau,Salade,Potatoes,Nuggets
C0441 Cookies,Hamburger,Potatoes
C0442 Nuggets,Cookies,Wrap
C0443 Potatoes,Sprite,Wrap,Milk-Shake
C0444 Cafe,Wrap
C0445 Cafe,Coca,Donuts,Glace
C0446 Salade,Donuts,Eau,Frites
C0447 Milk-Shake,Sprite,Potatoes
C0448 Eau,Hamburger,Donuts
C0449 Hamburger,Coca,Eau,Frites
C0450 Salade,Eau,Wrap
C0451 Nuggets,Frites,Eau,Milk-Shake
C0452 Hamburger,Milk-Shake,Nuggets,Donuts
C0453 Glace,Donuts
C0454 Salade,Donuts,Nuggets
C0455 Cafe,Donuts
C0456 Donuts,Cookies,Frites
C0457 Cafe,Sprite,Nuggets,Wrap
C0458 Milk-Shake,Cookies
C0459 Salade,Hamburger,Coca
C0460 Eau,Coca,Salade
C0461 Frites,Hamburger,Cafe
C0462 Cookies,Cafe,Donuts
C0463 Frites,Glace,Wrap,Potatoes
C0464 Glace,Hamburger,Coca,Cookies
C0465 Donuts,Cookies
C0466 Eau,Sprite,Nuggets,Cafe
C0467 Cookies,Sprite
C0468 Cookies,Cafe,Donuts
C0469 Donuts,Coca
C0470 Eau,Cookies
C0471 Nuggets,Cafe,Eau
C0472 Cookies,Glace
C0473 Cafe,Sprite,Eau
C0474 Wrap,Potatoes,Sprite
C0475 Hamburger,Nuggets,Sprite
C0476 Coca,Nuggets,Cookies,Hamburger
C0477 Eau,Glace,Nuggets,Sprite,Wrap
C0478 Nuggets,Cookies,Milk-Shake
C0479 Milk-Shake,Cookies,Donuts
C0480 Eau,Wrap,Cafe
C0481 Glace,Frites,Salade,Nuggets
C0482 Cookies,Glace
C0483 Salade,Donuts,Milk-Shake
C0484 Potatoes,Cafe,Salade
C0485 Donuts,Cookies
C0486 Cafe,Donuts,Wrap
C0487 Sprite,Wrap,Potatoes,Frites
C0488 Salade,Eau,Milk-Shake
C0489 Salade,Nuggets,Eau
C0490 Potatoes,Glace,Cookies,Hamburger,Nuggets
C0491 Milk-Shake,Cookies,Coca,Hamburger
C0492 Wrap,Cafe,Nuggets
C0493 Cafe,Donuts,Nuggets,Sprite
C0494 Wrap,Sprite,Glace,Milk-Shake
C0495 Potatoes,Wrap,Sprite
C0496 Eau,Hamburger,Wrap,Cafe
C0497 Coca,Frites,Glace,Cafe,Hamburger
C0498 Sprite,Potatoes,Glace
C0499 Glace,Wrap,Eau,Salade
C0500 Donuts,Cafe
C0501 Eau,Frites,Salade,Nuggets
C0502 Salade,Milk-Shake,Wrap,Hamburger
C0503 Cookies,Donuts
C0504 Cookies,Glace,Frites,Coca
C0505 Milk-Shake,Potatoes
C0506 Wrap,Nuggets,Potatoes
C0507 Nuggets,Eau,Salade
C0508 Donuts,Glace,Cafe
C0509 Cookies,Cafe
C0510 Salade,Eau,Cookies
C0511 Potatoes,Wrap,Salade
C0512 Glace,Eau
C0513 Sprite,Hamburger,Potatoes,Donuts,Glace
C0514 Potatoes,Coca,Cookies,Hamburger
C0515 Sprite,Cookies,Milk-Shake
C0516 Donuts,Cafe
C0517 Cookies,Milk-Shake,Frites,Coca
C0518 Sprite,Wrap,Eau,Potatoes
C0519 Sprite,Potatoes,Cafe,Wrap
C0520 Donuts,Sprite,Eau,Cafe
C0521 Wrap,Cafe,Sprite
C0522 Frites,Hamburger,Salade,Eau
C0523 Wrap,Cookies,Cafe
C0524 Cookies,Milk-Shake,Cafe
C0525 Glace,Nuggets,Eau
C0526 Frites,Glace,Cookies,Cafe
C0527 Frites,Potatoes,Glace,Hamburger,Coca
C0528 Wrap,Potatoes,Donuts
C0529 Milk-Shake,Potatoes,Cookies
C0530 Cafe,Wrap,Nuggets
C0531 Donuts,Eau,Cafe
C0532 Wrap,Nuggets,Eau
C0533 Wrap,Potatoes,Salade
C0534 Sprite,Donuts,Coca,Cafe
C0535 Donuts,Nuggets
C0536 Nuggets,Coca,Donuts
C0537 Sprite,Glace,Cafe,Coca
C0538 Frites,Salade,Nuggets,Coca
C0539 Cafe,Donuts
C0540 Salade,Coca,Wrap,Potatoes,Frites
C0541 Cookies,Nuggets
C0542 Wrap,Milk-Shake
C0543 Eau,Cafe
C0544 Wrap,Sprite
C0545 Milk-Shake,Nuggets,Coca,Potatoes
C0546 Salade,Cafe,Milk-Shake
C0547 Cookies,Milk-Shake
C0548 Potatoes,Eau,Hamburger
C0549 Eau,Salade,Nuggets
C0550 Milk-Shake,Cookies
C0551 Nuggets,Milk-Shake,Potatoes
C0552 Milk-Shake,Wrap
C0553 Glace,Cookies,Milk-Shake
C0554 Eau,Salade,Donuts,Nuggets
C0555 Eau,Cookies,Salade,Milk-Shake
C0556 Hamburger,Cafe,Coca,Donuts
C0557 Glace,Eau,Cookies,Hamburger,Nuggets
C0558 Donuts,Nuggets
C0559 Milk-Shake,Cafe,Cookies,Nuggets
C0560 Donuts,Potatoes
C0561 Donuts,Potatoes,Eau
C0562 Potatoes,Sprite
C0563 Glace,Hamburger,Coca,Sprite
C0564 Potatoes,Salade,Eau
C0565 Donuts,Cafe,Potatoes
C0566 Donuts,Potatoes,Cafe,Hamburger
C0567 Donuts,Frites,Hamburger,Eau
C0568 Salade,Eau,Donuts
C0569 Glace,Wrap,Donuts
C0570 Potatoes,Milk-Shake,Cookies
C0571 Salade,Cafe
C0572 Eau,Nuggets,Glace,Salade
C0573 Eau,Milk-Shake,Cafe
C0574 Potatoes,Sprite,Wrap
C0575 Salade,Cookies,Potatoes
C0576 Milk-Shake,Hamburger,Frites,Glace,Cookies
C0577 Donuts,Milk-Shake,Sprite
C0578 Milk-Shake,Cookies
C0579 Salade,Eau,Coca,Nuggets
C0580 Potatoes,Cookies,Milk-Shake
C0581 Cafe,Coca,Eau
C0582 Milk-Shake,Sprite,Cookies
C0583 Donuts,Cafe
C0584 Frites,Potatoes
C0585 Cafe,Glace,Milk-Shake,Donuts
C0586 Milk-Shake,Cookies,Cafe,Frites,Coca
C0587 Wrap,Salade,Sprite
C0588 Coca,Potatoes,Donuts
C0589 Salade,Coca,Glace,Cafe
C0590 Milk-Shake,Nuggets,Cookies
C0591 Wrap,Cafe,Milk-Shake
C0592 Cookies,Sprite,Nuggets,Potatoes,Frites
C0593 Sprite,Cafe,Donuts
C0594 Donuts,Nuggets,Wrap,Milk-Shake,Coca
C0595 Hamburger,Eau,Salade,Coca
C0596 Glace,Donuts
C0597 Donuts,Cafe,Nuggets
C0598 Milk-Shake,Cookies,Donuts
C0599 Wrap,Coca
C0600 Salade,Nuggets,Eau
C0601 Potatoes,Eau,Sprite,Nuggets
C0602 Cafe,Donuts
C0603 Cookies,Wrap,Glace,Milk-Shake
C0604 Nuggets,Potatoes,Eau,Hamburger
C0605 Cookies,Milk-Shake
C0606 Hamburger,Cafe,Wrap,Donuts,Potatoes
C0607 Cafe,Milk-Shake,Coca
C0608 Salade,Nuggets,Donuts
C0609 Cafe,Salade
C0610 Donuts,Coca,Cookies
C0611 Salade,Milk-Shake,Glace,Donuts
C0612 Salade,Milk-Shake
C0613 Cookies,Nuggets
C0614 Sprite,Wrap,Donuts
C0615 Cookies,Eau,Milk-Shake
C0616 Milk-Shake,Frites
C0617 Hamburger,Glace,Wrap
C0618 Milk-Shake,Cookies,Donuts
C0619 Frites,Potatoes,Glace,Wrap,Sprite
C0620 Sprite,Cookies
C0621 Donuts,Cafe,Salade
C0622 Cookies,Milk-Shake
C0623 Frites,Nuggets,Hamburger
C0624 Glace,Frites,Coca
C0625 Milk-Shake,Donuts
C0626 Cafe,Glace
C0627 Nuggets,Hamburger,Glace
C0628 Sprite,Wrap,Nuggets
C0629 Glace,Wrap,Nuggets
C0630 Donuts,Cafe,Milk-Shake
C0631 Frites,Sprite,Salade
C0632 Nuggets,Milk-Shake
C0633 Glace,Nuggets,Cookies,Cafe
C0634 Frites,Cookies,Eau
C0635 Wrap,Potatoes,Sprite
C0636 Cafe,Sprite
C0637 Hamburger,Coca,Wrap,Cafe,Glace
C0638 Wrap,Eau,Nuggets
C0639 Milk-Shake,Potatoes,Cafe
C0640 Wrap,Potatoes,Sprite
C0641 Cafe,Eau,Cookies
C0642 Donuts,Glace
C0643 Donuts,Cafe
C0644 Milk-Shake,Potatoes
C0645 Milk-Shake,Eau,Cafe,Salade
C0646 Wrap,Donuts,Sprite
C0647 Coca,Hamburger,Frites,Cafe,Glace
C0648 Milk-Shake,Donuts,Cafe,Wrap
C0649 Cookies,Milk-Shake
C0650 Coca,Hamburger,Salade,Nuggets
C0651 Milk-Shake,Sprite,Wrap
C0652 Cookies,Milk-Shake
C0653 Milk-Shake,Hamburger,Cafe
C0654 Salade,Sprite,Frites
C0655 Frites,Hamburger,Sprite
C0656 Donuts,Cafe
C0657 Frites,Milk-Shake,Cookies,Potatoes
C0658 Eau,Salade,Nuggets
C0659 Cafe,Sprite,Hamburger,Glace
C0660 Hamburger,Glace
C0661 Nuggets,Salade,Eau
C0662 Cookies,Eau
C0663 Cafe,Donuts
C0664 Sprite,Cookies,Glace,Salade
C0665 Salade,Donuts,Cafe
C0666 Cookies,Milk-Shake
C0667 Hamburger,Frites,Coca,Eau
C0668 Donuts,Nuggets,Salade
C0669 Cafe,Eau
C0670 Sprite,Hamburger,Donuts
C0671 Cafe,Coca,Hamburger,Donuts
C0672 Wrap,Sprite,Potatoes
C0673 Cafe,Donuts,Sprite
C0674 Frites,Donuts,Salade
C0675 Milk-Shake,Donuts,Glace,Cookies
C0676 Donuts,Eau,Coca,Cafe,Wrap
C0677 Milk-Shake,Potatoes,Cookies,Eau
C0678 Milk-Shake,Cafe
C0679 Sprite,Hamburger,Cookies,Frites
C0680 Hamburger,Glace,Cookies,Frites,Coca
C0681 Eau,Milk-Shake,Nuggets
C0682 Wrap,Sprite,Coca
C0683 Eau,Donuts,Nuggets
C0684 Eau,Potatoes,Wrap
C0685 Sprite,Cookies
C0686 Hamburger,Cookies
C0687 Donuts,Nuggets
C0688 Nuggets,Eau,Salade
C0689 Cookies,Nuggets
C0690 Salade,Cookies,Milk-Shake
C0691 Eau,Nuggets,Frites
C0692 Eau,Hamburger
C0693 Glace,Donuts
C0694 Nuggets,Salade,Hamburger
C0695 Glace,Hamburger,Frites,Coca
C0696 Cafe,Donuts
C0697 Coca,Eau,Nuggets
