NIVEAU;BRANCHE;LIB_NAF;Tranche de taille d'effectif;Chiffre d'affaires de la branche
a88 ;2;Exploitation forestière ;De 20 à 249 salariés en ETP ;S
a88 ;2;Exploitation forestière ;Plus de 250 salariés en ETP ;S
a272 ;21;Sylviculture et autres activités forestières ;Ensemble des tranches d'effectif ;46,6
a272 ;21;Sylviculture et autres activités forestières ;De 0 à 9 salariés en ETP ;5,7
a272 ;21;Sylviculture et autres activités forestières ;De 10 à 19 salariés en ETP ;S
a272 ;21;Sylviculture et autres activités forestières ;De 20 à 249 salariés en ETP ;S
a272 ;21;Sylviculture et autres activités forestières ;Plus de 250 salariés en ETP ;S
a272 ;22;Exploitation forestière ;Ensemble des tranches d'effectif ;1462,1
a272 ;22;Exploitation forestière ;De 0 à 9 salariés en ETP ;886,1
a272 ;22;Exploitation forestière ;De 10 à 19 salariés en ETP ;S
a272 ;22;Exploitation forestière ;De 20 à 249 salariés en ETP ;S
a272 ;22;Exploitation forestière ;Plus de 250 salariés en ETP ;S
a272 ;23;Récolte de produits forestiers non ligneux poussant à l'état sauvage ;Ensemble des tranches d'effectif ;0,6
a272 ;23;Récolte de produits forestiers non ligneux poussant à l'état sauvage ;De 0 à 9 salariés en ETP ;0
a272 ;23;Récolte de produits forestiers non ligneux poussant à l'état sauvage ;De 10 à 19 salariés en ETP ;N
a272 ;23;Récolte de produits forestiers non ligneux poussant à l'état sauvage ;De 20 à 249 salariés en ETP ;S
a272 ;23;Récolte de produits forestiers non ligneux poussant à l'état sauvage ;Plus de 250 salariés en ETP ;N
a272 ;24;Services de soutien à l'exploitation forestière ;Ensemble des tranches d'effectif ;41,6
a272 ;24;Services de soutien à l'exploitation forestière ;De 0 à 9 salariés en ETP ;29,3
a272 ;24;Services de soutien à l'exploitation forestière ;De 10 à 19 salariés en ETP ;N
a272 ;24;Services de soutien à l'exploitation forestière ;De 20 à 249 salariés en ETP ;S
a272 ;24;Services de soutien à l'exploitation forestière ;Plus de 250 salariés en ETP ;N
a88 ;3;Pêche et aquaculture ;Ensemble des tranches d'effectif ;2,9
a88 ;3;Pêche et aquaculture ;De 0 à 9 salariés en ETP ;0,5
a88 ;3;Exploitation forestière ;De 10 à 19 salariés en ETP ;N
a88 ;3;Pêche et aquaculture ;De 20 à 249 salariés en ETP ;2,4
a88 ;3;Pêche et aquaculture ;Plus de 250 salariés en ETP ;N
a272 ;32;Aquaculture ;Ensemble des tranches d'effectif ;2,9
a272 ;32;Aquaculture ;De 0 à 9 salariés en ETP ;0,5
a272 ;32;Aquaculture ;De 10 à 19 salariés en ETP ;N
a272 ;32;Aquaculture ;De 20 à 249 salariés en ETP ;2,4
a272 ;32;Aquaculture ;Plus de 250 salariés en ETP ;N
a10 ;BE ;Industrie manufacturière, industries extractives  et autres ;Ensemble des tranches d'effectif ;896205,6
a10 ;BE ;Industrie manufacturière, industries extractives  et autres ;De 0 à 9 salariés en ETP ;66053,7
a10 ;BE ;Industrie manufacturière, industries extractives  et autres ;De 10 à 19 salariés en ETP ;31789,4
a10 ;BE ;Industrie manufacturière, industries extractives  et autres ;De 20 à 249 salariés en ETP ;248058,3
a10 ;BE ;Industrie manufacturière, industries extractives  et autres ;Plus de 250 salariés en ETP ;550227,9
a10 ;BEy ;Industrie manufacturière, industries extractives  et autres, dont artisanat commercial (*) ;Ensemble des tranches d'effectif ;N
a10 ;BEy ;Industrie manufacturière, industries extractives  et autres, dont artisanat commercial (*) ;De 0 à 9 salariés en ETP ;N
a10 ;BEy ;Industrie manufacturière, industries extractives  et autres, dont artisanat commercial (*) ;De 10 à 19 salariés en ETP ;N
a10 ;BEy ;Industrie manufacturière, industries extractives  et autres, dont artisanat commercial (*) ;De 20 à 249 salariés en ETP ;N
a10 ;BEy ;Industrie manufacturière, industries extractives  et autres, dont artisanat commercial (*) ;Plus de 250 salariés en ETP ;N
a21 ;B ;Industries extractives ;Ensemble des tranches d'effectif ;6655,1
a21 ;B ;Industries extractives ;De 0 à 9 salariés en ETP ;1057
a21 ;B ;Industries extractives ;De 10 à 19 salariés en ETP ;667,6
a21 ;B ;Industries extractives ;De 20 à 249 salariés en ETP ;3142,8
a21 ;B ;Industries extractives ;Plus de 250 salariés en ETP ;1786,3
a88 ;6;Extraction d'hydrocarbures ;Ensemble des tranches d'effectif ;S
a88 ;6;Extraction d'hydrocarbures ;De 0 à 9 salariés en ETP ;S
a88 ;6;Extraction d'hydrocarbures ;De 10 à 19 salariés en ETP ;S
a88 ;6;Extraction d'hydrocarbures ;De 20 à 249 salariés en ETP ;S
a88 ;6;Extraction d'hydrocarbures ;Plus de 250 salariés en ETP ;S
a272 ;61;Extraction de pétrole brut ;Ensemble des tranches d'effectif ;522
a272 ;61;Extraction de pétrole brut ;De 0 à 9 salariés en ETP ;S
a272 ;61;Extraction de pétrole brut ;De 10 à 19 salariés en ETP ;S
a272 ;61;Extraction de pétrole brut ;De 20 à 249 salariés en ETP ;S
a272 ;61;Extraction de pétrole brut ;Plus de 250 salariés en ETP ;148,8
a272 ;62;Extraction de gaz naturel ;Ensemble des tranches d'effectif ;S
a272 ;62;Extraction de gaz naturel ;De 0 à 9 salariés en ETP ;S
a272 ;62;Extraction de gaz naturel ;De 10 à 19 salariés en ETP ;N
a272 ;62;Extraction de gaz naturel ;De 20 à 249 salariés en ETP ;3
a272 ;62;Extraction de gaz naturel ;Plus de 250 salariés en ETP ;S
a88 ;7;Extraction de minerais métalliques ;Ensemble des tranches d'effectif ;58,5
a88 ;7;Extraction de minerais métalliques ;De 0 à 9 salariés en ETP ;5,2
a88 ;7;Extraction de minerais métalliques ;De 10 à 19 salariés en ETP ;6,3
a88 ;7;Extraction de minerais métalliques ;De 20 à 249 salariés en ETP ;47
a88 ;7;Extraction de minerais métalliques ;Plus de 250 salariés en ETP ;N
a272 ;71;Extraction de minerais de fer ;Ensemble des tranches d'effectif ;S
a272 ;71;Extraction de minerais de fer ;De 0 à 9 salariés en ETP ;S
a272 ;71;Extraction de minerais de fer ;De 10 à 19 salariés en ETP ;1,3
a272 ;71;Extraction de minerais de fer ;De 20 à 249 salariés en ETP ;N
a272 ;71;Extraction de minerais de fer ;Plus de 250 salariés en ETP ;N
a272 ;72;Extraction de minerais de métaux non ferreux ;Ensemble des tranches d'effectif ;S
a272 ;72;Extraction de minerais de métaux non ferreux ;De 0 à 9 salariés en ETP ;S
a272 ;72;Extraction de minerais de métaux non ferreux ;De 10 à 19 salariés en ETP ;5
a272 ;72;Extraction de minerais de métaux non ferreux ;De 20 à 249 salariés en ETP ;47
a272 ;72;Extraction de minerais de métaux non ferreux ;Plus de 250 salariés en ETP ;N
a88 ;8;Autres industries extractives ;Ensemble des tranches d'effectif ;5621,1
a88 ;8;Autres industries extractives ;De 0 à 9 salariés en ETP ;S
a88 ;8;Autres industries extractives ;De 10 à 19 salariés en ETP ;644,7
a88 ;8;Autres industries extractives ;De 20 à 249 salariés en ETP ;2650,1
a88 ;8;Autres industries extractives ;Plus de 250 salariés en ETP ;S
a272 ;81;Extraction de pierres, de sables et d'argiles ;Ensemble des tranches d'effectif ;5124
a272 ;81;Extraction de pierres, de sables et d'argiles ;De 0 à 9 salariés en ETP ;S
a272 ;81;Extraction de pierres, de sables et d'argiles ;De 10 à 19 salariés en ETP ;590,3
a272 ;81;Extraction de pierres, de sables et d'argiles ;De 20 à 249 salariés en ETP ;S
a272 ;81;Extraction de pierres, de sables et d'argiles ;Plus de 250 salariés en ETP ;1159,1
a272 ;89;Activités extractives n.c.a. ;Ensemble des tranches d'effectif ;497,2
a272 ;89;Activités extractives n.c.a. ;De 0 à 9 salariés en ETP ;S
a272 ;89;Activités extractives n.c.a. ;De 10 à 19 salariés en ETP ;54,4
a272 ;89;Activités extractives n.c.a. ;De 20 à 249 salariés en ETP ;S
a272 ;89;Activités extractives n.c.a. ;Plus de 250 salariés en ETP ;S
a88 ;9;Services de soutien aux industries extractives ;Ensemble des tranches d'effectif ;S
a88 ;9;Services de soutien aux industries extractives ;De 0 à 9 salariés en ETP ;S
a88 ;9;Services de soutien aux industries extractives ;De 10 à 19 salariés en ETP ;S
a88 ;9;Services de soutien aux industries extractives ;De 20 à 249 salariés en ETP ;S
a88 ;9;Services de soutien aux industries extractives ;Plus de 250 salariés en ETP ;N
a272 ;91;Activités de soutien à l'extraction d'hydrocarbures ;Ensemble des tranches d'effectif ;242,3
a272 ;91;Activités de soutien à l'extraction d'hydrocarbures ;De 0 à 9 salariés en ETP ;S
a272 ;91;Activités de soutien à l'extraction d'hydrocarbures ;De 10 à 19 salariés en ETP ;S
a272 ;91;Activités de soutien à l'extraction d'hydrocarbures ;De 20 à 249 salariés en ETP ;S
a272 ;91;Activités de soutien à l'extraction d'hydrocarbures ;Plus de 250 salariés en ETP ;N
a272 ;99;Activités de soutien aux autres industries extractives ;Ensemble des tranches d'effectif ;S
a272 ;99;Activités de soutien aux autres industries extractives ;De 0 à 9 salariés en ETP ;S
a272 ;99;Activités de soutien aux autres industries extractives ;De 10 à 19 salariés en ETP ;0,8
a272 ;99;Activités de soutien aux autres industries extractives ;De 20 à 249 salariés en ETP ;S
a272 ;99;Activités de soutien aux autres industries extractives ;Plus de 250 salariés en ETP ;N
a21 ;C ;Industrie manufacturière ;Ensemble des tranches d'effectif ;745912,5
a21 ;C ;Industrie manufacturière ;De 0 à 9 salariés en ETP ;54004,3
a21 ;C ;Industrie manufacturière ;De 10 à 19 salariés en ETP ;27718
a21 ;C ;Industrie manufacturière ;De 20 à 249 salariés en ETP ;224075,2
a21 ;C ;Industrie manufacturière ;Plus de 250 salariés en ETP ;440033,8
a21 ;Cy ;Industrie manufacturière, dont artisanat commercial (*) ;Ensemble des tranches d'effectif ;N
a21 ;Cy ;Industrie manufacturière, dont artisanat commercial (*) ;De 0 à 9 salariés en ETP ;N
a21 ;Cy ;Industrie manufacturière, dont artisanat commercial (*) ;De 10 à 19 salariés en ETP ;N
a21 ;Cy ;Industrie manufacturière, dont artisanat commercial (*) ;De 20 à 249 salariés en ETP ;N
a21 ;Cy ;Industrie manufacturière, dont artisanat commercial (*) ;Plus de 250 salariés en ETP ;N
a88 ;10;Industries alimentaires ;Ensemble des tranches d'effectif ;135225,1
a88 ;10;Industries alimentaires ;De 0 à 9 salariés en ETP ;15444,1
a88 ;10;Industries alimentaires ;De 10 à 19 salariés en ETP ;5514,1
a88 ;10;Industries alimentaires ;De 20 à 249 salariés en ETP ;45963,9
a88 ;10;Industries alimentaires ;Plus de 250 salariés en ETP ;68303,4
a88 ;10y ;Industries alimentaires, dont artisanat commercial (*) ;Ensemble des tranches d'effectif ;N
a88 ;10y ;Industries alimentaires, dont artisanat commercial (*) ;De 0 à 9 salariés en ETP ;N
a88 ;10y ;Industries alimentaires, dont artisanat commercial (*) ;De 10 à 19 salariés en ETP ;N
a88 ;10y ;Industries alimentaires, dont artisanat commercial (*) ;De 20 à 249 salariés en ETP ;N
a88 ;10y ;Industries alimentaires, dont artisanat commercial (*) ;Plus de 250 salariés en ETP ;N
a272 ;101;Transformation et conservation de la viande et préparation de produits à base de viande ;Ensemble des tranches d'effectif ;33487,6
a272 ;101;Transformation et conservation de la viande et préparation de produits à base de viande ;De 0 à 9 salariés en ETP ;3371,7
a272 ;101;Transformation et conservation de la viande et préparation de produits à base de viande ;De 10 à 19 salariés en ETP ;1440,3
a272 ;101;Transformation et conservation de la viande et préparation de produits à base de viande ;De 20 à 249 salariés en ETP ;10983,5
a272 ;101;Transformation et conservation de la viande et préparation de produits à base de viande ;Plus de 250 salariés en ETP ;17691,5
a272 ;101y ;Transformation et conservation de la viande et préparation de produits à base de viande, dont artisanat commercial (**) ;Ensemble des tranches d'effectif ;N
a272 ;101y ;Transformation et conservation de la viande et préparation de produits à base de viande, dont artisanat commercial (**) ;De 0 à 9 salariés en ETP ;N
a272 ;101y ;Transformation et conservation de la viande et préparation de produits à base de viande, dont artisanat commercial (**) ;De 10 à 19 salariés en ETP ;N
a272 ;101y ;Transformation et conservation de la viande et préparation de produits à base de viande, dont artisanat commercial (**) ;De 20 à 249 salariés en ETP ;N
a272 ;101y ;Transformation et conservation de la viande et préparation de produits à base de viande, dont artisanat commercial (**) ;Plus de 250 salariés en ETP ;N
a272 ;102;Transformation et conservation de poisson, de crustacés et de mollusques ;Ensemble des tranches d'effectif ;2801,7
a272 ;102;Transformation et conservation de poisson, de crustacés et de mollusques ;De 0 à 9 salariés en ETP ;S
a272 ;102;Transformation et conservation de poisson, de crustacés et de mollusques ;De 10 à 19 salariés en ETP ;204,4
a272 ;102;Transformation et conservation de poisson, de crustacés et de mollusques ;De 20 à 249 salariés en ETP ;S
a272 ;102;Transformation et conservation de poisson, de crustacés et de mollusques ;Plus de 250 salariés en ETP ;S
a272 ;103;Transformation et conservation de fruits et légumes ;Ensemble des tranches d'effectif ;6753,9
a272 ;103;Transformation et conservation de fruits et légumes ;De 0 à 9 salariés en ETP ;443,1
a272 ;103;Transformation et conservation de fruits et légumes ;De 10 à 19 salariés en ETP ;228,7
a272 ;103;Transformation et conservation de fruits et légumes ;De 20 à 249 salariés en ETP ;2631,7
a272 ;103;Transformation et conservation de fruits et légumes ;Plus de 250 salariés en ETP ;3450,3
a272 ;104;Fabrication d'huiles et graisses végétales et animales ;Ensemble des tranches d'effectif ;5062,4
a272 ;104;Fabrication d'huiles et graisses végétales et animales ;De 0 à 9 salariés en ETP ;S
a272 ;104;Fabrication d'huiles et graisses végétales et animales ;De 10 à 19 salariés en ETP ;183,5
a272 ;104;Fabrication d'huiles et graisses végétales et animales ;De 20 à 249 salariés en ETP ;S
a272 ;104;Fabrication d'huiles et graisses végétales et animales ;Plus de 250 salariés en ETP ;S
a272 ;105;Fabrication de produits laitiers ;Ensemble des tranches d'effectif ;25639,1
a272 ;105;Fabrication de produits laitiers ;De 0 à 9 salariés en ETP ;1197,4
a272 ;105;Fabrication de produits laitiers ;De 10 à 19 salariés en ETP ;574,8
a272 ;105;Fabrication de produits laitiers ;De 20 à 249 salariés en ETP ;8724,4
a272 ;105;Fabrication de produits laitiers ;Plus de 250 salariés en ETP ;15142,5
a272 ;106;Travail des grains - fabrication de produits amylacés ;Ensemble des tranches d'effectif ;6503,8
a272 ;106;Travail des grains - fabrication de produits amylacés ;De 0 à 9 salariés en ETP ;378,5
a272 ;106;Travail des grains - fabrication de produits amylacés ;De 10 à 19 salariés en ETP ;263,3
a272 ;106;Travail des grains - fabrication de produits amylacés ;De 20 à 249 salariés en ETP ;1723,5
a272 ;106;Travail des grains - fabrication de produits amylacés ;Plus de 250 salariés en ETP ;4138,6
a272 ;107;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires ;Ensemble des tranches d'effectif ;21136,5
a272 ;107;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires ;De 0 à 9 salariés en ETP ;8232,6
a272 ;107;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires ;De 10 à 19 salariés en ETP ;1107,6
a272 ;107;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires ;De 20 à 249 salariés en ETP ;6079,3
a272 ;107;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires ;Plus de 250 salariés en ETP ;5717,2
a272 ;107y ;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires, dont artisanat commercial (***) ;Ensemble des tranches d'effectif ;N
a272 ;107y ;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires, dont artisanat commercial (***) ;De 0 à 9 salariés en ETP ;N
a272 ;107y ;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires, dont artisanat commercial (***) ;De 10 à 19 salariés en ETP ;N
a272 ;107y ;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires, dont artisanat commercial (***) ;De 20 à 249 salariés en ETP ;N
a272 ;107y ;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires, dont artisanat commercial (***) ;Plus de 250 salariés en ETP ;N
a272 ;108;Fabrication d'autres produits alimentaires ;Ensemble des tranches d'effectif ;22585,3
a272 ;108;Fabrication d'autres produits alimentaires ;De 0 à 9 salariés en ETP ;997,2
a272 ;108;Fabrication d'autres produits alimentaires ;De 10 à 19 salariés en ETP ;606,6
a272 ;108;Fabrication d'autres produits alimentaires ;De 20 à 249 salariés en ETP ;8478,4
a272 ;108;Fabrication d'autres produits alimentaires ;Plus de 250 salariés en ETP ;12503,2
a272 ;109;Fabrication d'aliments pour animaux ;Ensemble des tranches d'effectif ;11255
a272 ;109;Fabrication d'aliments pour animaux ;De 0 à 9 salariés en ETP ;334,6
a272 ;109;Fabrication d'aliments pour animaux ;De 10 à 19 salariés en ETP ;905,1
a272 ;109;Fabrication d'aliments pour animaux ;De 20 à 249 salariés en ETP ;5301,8
a272 ;109;Fabrication d'aliments pour animaux ;Plus de 250 salariés en ETP ;4714,6
a88 ;11;Fabrication de boissons ;Ensemble des tranches d'effectif ;21797
a88 ;11;Fabrication de boissons ;De 0 à 9 salariés en ETP ;2453,4
a88 ;11;Fabrication de boissons ;De 10 à 19 salariés en ETP ;925,9
a88 ;11;Fabrication de boissons ;De 20 à 249 salariés en ETP ;8122,8
a88 ;11;Fabrication de boissons ;Plus de 250 salariés en ETP ;10295
a272 ;110;Fabrication de boissons ;Ensemble des tranches d'effectif ;21797
a272 ;110;Fabrication de boissons ;De 0 à 9 salariés en ETP ;2453,4
a272 ;110;Fabrication de boissons ;De 10 à 19 salariés en ETP ;925,9
a272 ;110;Fabrication de boissons ;De 20 à 249 salariés en ETP ;8122,8
a272 ;110;Fabrication de boissons ;Plus de 250 salariés en ETP ;10295
a88 ;12;Fabrication de produits à base de tabac ;Ensemble des tranches d'effectif ;S
a88 ;12;Fabrication de produits à base de tabac ;De 0 à 9 salariés en ETP ;S
a88 ;12;Fabrication de produits à base de tabac ;De 10 à 19 salariés en ETP ;N
a88 ;12;Fabrication de produits à base de tabac ;De 20 à 249 salariés en ETP ;S
a88 ;12;Fabrication de produits à base de tabac ;Plus de 250 salariés en ETP ;S
a272 ;120;Fabrication de produits à base de tabac ;Ensemble des tranches d'effectif ;S
a272 ;120;Fabrication de produits à base de tabac ;De 0 à 9 salariés en ETP ;S
a272 ;120;Fabrication de produits à base de tabac ;De 10 à 19 salariés en ETP ;N
a272 ;120;Fabrication de produits à base de tabac ;De 20 à 249 salariés en ETP ;S
a272 ;120;Fabrication de produits à base de tabac ;Plus de 250 salariés en ETP ;S
a88 ;13;Fabrication de textiles ;Ensemble des tranches d'effectif ;7003
a88 ;13;Fabrication de textiles ;De 0 à 9 salariés en ETP ;861,8
a88 ;13;Fabrication de textiles ;De 10 à 19 salariés en ETP ;702,9
a88 ;13;Fabrication de textiles ;De 20 à 249 salariés en ETP ;4192,2
a88 ;13;Fabrication de textiles ;Plus de 250 salariés en ETP ;1246
a272 ;131;Préparation de fibres textiles et filature ;Ensemble des tranches d'effectif ;625,9
a272 ;131;Préparation de fibres textiles et filature ;De 0 à 9 salariés en ETP ;S
a272 ;131;Préparation de fibres textiles et filature ;De 10 à 19 salariés en ETP ;S
a272 ;131;Préparation de fibres textiles et filature ;De 20 à 249 salariés en ETP ;402,5
a272 ;131;Préparation de fibres textiles et filature ;Plus de 250 salariés en ETP ;S
a272 ;132;Tissage ;Ensemble des tranches d'effectif ;1246,2
a272 ;132;Tissage ;De 0 à 9 salariés en ETP ;S
a272 ;132;Tissage ;De 10 à 19 salariés en ETP ;S
a272 ;132;Tissage ;De 20 à 249 salariés en ETP ;746,4
a272 ;132;Tissage ;Plus de 250 salariés en ETP ;S
a272 ;133;Ennoblissement textile ;Ensemble des tranches d'effectif ;430,7
a272 ;133;Ennoblissement textile ;De 0 à 9 salariés en ETP ;92,3
a272 ;133;Ennoblissement textile ;De 10 à 19 salariés en ETP ;50,5
a272 ;133;Ennoblissement textile ;De 20 à 249 salariés en ETP ;287,8
a272 ;133;Ennoblissement textile ;Plus de 250 salariés en ETP ;N
a272 ;139;Fabrication d'autres textiles ;Ensemble des tranches d'effectif ;4700,3
a272 ;139;Fabrication d'autres textiles ;De 0 à 9 salariés en ETP ;537,8
a272 ;139;Fabrication d'autres textiles ;De 10 à 19 salariés en ETP ;430,2
a272 ;139;Fabrication d'autres textiles ;De 20 à 249 salariés en ETP ;2755,5
a272 ;139;Fabrication d'autres textiles ;Plus de 250 salariés en ETP ;976,7
a88 ;14;Industrie de l'habillement ;Ensemble des tranches d'effectif ;6513,3
a88 ;14;Industrie de l'habillement ;De 0 à 9 salariés en ETP ;972,3
a88 ;14;Industrie de l'habillement ;De 10 à 19 salariés en ETP ;685
a88 ;14;Industrie de l'habillement ;De 20 à 249 salariés en ETP ;3322,8
a88 ;14;Industrie de l'habillement ;Plus de 250 salariés en ETP ;1533,3
a272 ;141;Fabrication de vêtements, autres qu'en fourrure ;Ensemble des tranches d'effectif ;5502,2
a272 ;141;Fabrication de vêtements, autres qu'en fourrure ;De 0 à 9 salariés en ETP ;920,3
a272 ;141;Fabrication de vêtements, autres qu'en fourrure ;De 10 à 19 salariés en ETP ;662,4
a272 ;141;Fabrication de vêtements, autres qu'en fourrure ;De 20 à 249 salariés en ETP ;2980,6
a272 ;141;Fabrication de vêtements, autres qu'en fourrure ;Plus de 250 salariés en ETP ;938,9
a272 ;142;Fabrication d'articles en fourrure ;Ensemble des tranches d'effectif ;59,4
a272 ;142;Fabrication d'articles en fourrure ;De 0 à 9 salariés en ETP ;S
a272 ;142;Fabrication d'articles en fourrure ;De 10 à 19 salariés en ETP ;S
a272 ;142;Fabrication d'articles en fourrure ;De 20 à 249 salariés en ETP ;S
a272 ;142;Fabrication d'articles en fourrure ;Plus de 250 salariés en ETP ;N
a272 ;143;Fabrication d'articles à mailles ;Ensemble des tranches d'effectif ;951,8
a272 ;143;Fabrication d'articles à mailles ;De 0 à 9 salariés en ETP ;S
a272 ;143;Fabrication d'articles à mailles ;De 10 à 19 salariés en ETP ;S
a272 ;143;Fabrication d'articles à mailles ;De 20 à 249 salariés en ETP ;S
a272 ;143;Fabrication d'articles à mailles ;Plus de 250 salariés en ETP ;594,4
a88 ;15;Industrie du cuir et de la chaussure ;Ensemble des tranches d'effectif ;3494,2
a88 ;15;Industrie du cuir et de la chaussure ;De 0 à 9 salariés en ETP ;264,4
a88 ;15;Industrie du cuir et de la chaussure ;De 10 à 19 salariés en ETP ;371,1
a88 ;15;Industrie du cuir et de la chaussure ;De 20 à 249 salariés en ETP ;1545,2
a88 ;15;Industrie du cuir et de la chaussure ;Plus de 250 salariés en ETP ;1313,4
a272 ;151;Apprêt et tannage des cuirs ;Ensemble des tranches d'effectif ;2521,9
a272 ;151;Apprêt et tannage des cuirs ;De 0 à 9 salariés en ETP ;201,1
a272 ;151;Apprêt et tannage des cuirs ;De 10 à 19 salariés en ETP ;277,3
a272 ;151;Apprêt et tannage des cuirs ;De 20 à 249 salariés en ETP ;906,7
a272 ;151;Apprêt et tannage des cuirs ;Plus de 250 salariés en ETP ;1136,8
a272 ;152;Fabrication de chaussures ;Ensemble des tranches d'effectif ;972,2
a272 ;152;Fabrication de chaussures ;De 0 à 9 salariés en ETP ;63,4
a272 ;152;Fabrication de chaussures ;De 10 à 19 salariés en ETP ;93,8
a272 ;152;Fabrication de chaussures ;De 20 à 249 salariés en ETP ;638,5
a272 ;152;Fabrication de chaussures ;Plus de 250 salariés en ETP ;176,6
a88 ;16;Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles - fabrication d'articles en vannerie et sparterie ;Ensemble des tranches d'effectif ;11137,1
a88 ;16;Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles - fabrication d'articles en vannerie et sparterie ;De 0 à 9 salariés en ETP ;1993,8
a88 ;16;Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles - fabrication d'articles en vannerie et sparterie ;De 10 à 19 salariés en ETP ;1527,1
