NIVEAU;BRANCHE;LIB_NAF;Tranche de taille d'effectif;Chiffre d'affaires de la branche
a10 ;BE ;Industrie manufacturière, industries extractives  et autres ;Plus de 250 salariés en ETP ;520092,5
a10 ;BEy ;Industrie manufacturière, industries extractives  et autres, dont artisanat commercial (*) ;Ensemble des tranches d'effectif ;N
a10 ;BEy ;Industrie manufacturière, industries extractives  et autres, dont artisanat commercial (*) ;De 0 à 9 salariés en ETP ;N
a10 ;BEy ;Industrie manufacturière, industries extractives  et autres, dont artisanat commercial (*) ;De 10 à 19 salariés en ETP ;N
a10 ;BEy ;Industrie manufacturière, industries extractives  et autres, dont artisanat commercial (*) ;De 20 à 249 salariés en ETP ;N
a10 ;BEy ;Industrie manufacturière, industries extractives  et autres, dont artisanat commercial (*) ;Plus de 250 salariés en ETP ;N
a21 ;B ;Industries extractives ;Ensemble des tranches d'effectif ;6245,3
a21 ;B ;Industries extractives ;De 0 à 9 salariés en ETP ;1015,9
a21 ;B ;Industries extractives ;De 10 à 19 salariés en ETP ;S
a21 ;B ;Industries extractives ;De 20 à 249 salariés en ETP ;3081
a21 ;B ;Industries extractives ;Plus de 250 salariés en ETP ;S
a88 ;5;Extraction de houille et de lignite ;Ensemble des tranches d'effectif ;S
a88 ;5;Extraction de houille et de lignite ;De 0 à 9 salariés en ETP ;S
a88 ;5;Extraction de houille et de lignite ;De 10 à 19 salariés en ETP ;N
a88 ;5;Extraction de houille et de lignite ;De 20 à 249 salariés en ETP ;N
a88 ;5;Extraction de houille et de lignite ;Plus de 250 salariés en ETP ;N
a272 ;51;Extraction de houille ;Ensemble des tranches d'effectif ;S
a272 ;51;Extraction de houille ;De 0 à 9 salariés en ETP ;S
a272 ;51;Extraction de houille ;De 10 à 19 salariés en ETP ;N
a272 ;51;Extraction de houille ;De 20 à 249 salariés en ETP ;N
a272 ;51;Extraction de houille ;Plus de 250 salariés en ETP ;N
a88 ;6;Extraction d'hydrocarbures ;Ensemble des tranches d'effectif ;604,2
a88 ;6;Extraction d'hydrocarbures ;De 0 à 9 salariés en ETP ;S
a88 ;6;Extraction d'hydrocarbures ;De 10 à 19 salariés en ETP ;N
a88 ;6;Extraction d'hydrocarbures ;De 20 à 249 salariés en ETP ;S
a88 ;6;Extraction d'hydrocarbures ;Plus de 250 salariés en ETP ;S
a272 ;61;Extraction de pétrole brut ;Ensemble des tranches d'effectif ;S
a272 ;61;Extraction de pétrole brut ;De 0 à 9 salariés en ETP ;S
a272 ;61;Extraction de pétrole brut ;De 10 à 19 salariés en ETP ;N
a272 ;61;Extraction de pétrole brut ;De 20 à 249 salariés en ETP ;S
a272 ;61;Extraction de pétrole brut ;Plus de 250 salariés en ETP ;96,5
a272 ;62;Extraction de gaz naturel ;Ensemble des tranches d'effectif ;S
a272 ;62;Extraction de gaz naturel ;De 0 à 9 salariés en ETP ;S
a272 ;62;Extraction de gaz naturel ;De 10 à 19 salariés en ETP ;N
a272 ;62;Extraction de gaz naturel ;De 20 à 249 salariés en ETP ;2,4
a272 ;62;Extraction de gaz naturel ;Plus de 250 salariés en ETP ;S
a88 ;7;Extraction de minerais métalliques ;Ensemble des tranches d'effectif ;S
a88 ;7;Extraction de minerais métalliques ;De 0 à 9 salariés en ETP ;S
a88 ;7;Extraction de minerais métalliques ;De 10 à 19 salariés en ETP ;S
a88 ;7;Extraction de minerais métalliques ;De 20 à 249 salariés en ETP ;S
a88 ;7;Extraction de minerais métalliques ;Plus de 250 salariés en ETP ;N
a272 ;71;Extraction de minerais de fer ;Ensemble des tranches d'effectif ;1,7
a272 ;71;Extraction de minerais de fer ;De 0 à 9 salariés en ETP ;0,1
a272 ;71;Extraction de minerais de fer ;De 10 à 19 salariés en ETP ;1,6
a272 ;71;Extraction de minerais de fer ;De 20 à 249 salariés en ETP ;N
a272 ;71;Extraction de minerais de fer ;Plus de 250 salariés en ETP ;N
a272 ;72;Extraction de minerais de métaux non ferreux ;Ensemble des tranches d'effectif ;S
a272 ;72;Extraction de minerais de métaux non ferreux ;De 0 à 9 salariés en ETP ;S
a272 ;72;Extraction de minerais de métaux non ferreux ;De 10 à 19 salariés en ETP ;S
a272 ;72;Extraction de minerais de métaux non ferreux ;De 20 à 249 salariés en ETP ;S
a272 ;72;Extraction de minerais de métaux non ferreux ;Plus de 250 salariés en ETP ;N
a88 ;8;Autres industries extractives ;Ensemble des tranches d'effectif ;5313,8
a88 ;8;Autres industries extractives ;De 0 à 9 salariés en ETP ;S
a88 ;8;Autres industries extractives ;De 10 à 19 salariés en ETP ;S
a88 ;8;Autres industries extractives ;De 20 à 249 salariés en ETP ;2672,4
a88 ;8;Autres industries extractives ;Plus de 250 salariés en ETP ;S
a272 ;81;Extraction de pierres, de sables et d'argiles ;Ensemble des tranches d'effectif ;4838,4
a272 ;81;Extraction de pierres, de sables et d'argiles ;De 0 à 9 salariés en ETP ;751,6
a272 ;81;Extraction de pierres, de sables et d'argiles ;De 10 à 19 salariés en ETP ;S
a272 ;81;Extraction de pierres, de sables et d'argiles ;De 20 à 249 salariés en ETP ;S
a272 ;81;Extraction de pierres, de sables et d'argiles ;Plus de 250 salariés en ETP ;S
a272 ;89;Activités extractives n.c.a. ;Ensemble des tranches d'effectif ;475,4
a272 ;89;Activités extractives n.c.a. ;De 0 à 9 salariés en ETP ;S
a272 ;89;Activités extractives n.c.a. ;De 10 à 19 salariés en ETP ;67,5
a272 ;89;Activités extractives n.c.a. ;De 20 à 249 salariés en ETP ;S
a272 ;89;Activités extractives n.c.a. ;Plus de 250 salariés en ETP ;S
a88 ;9;Services de soutien aux industries extractives ;Ensemble des tranches d'effectif ;285,7
a88 ;9;Services de soutien aux industries extractives ;De 0 à 9 salariés en ETP ;S
a88 ;9;Services de soutien aux industries extractives ;De 10 à 19 salariés en ETP ;S
a88 ;9;Services de soutien aux industries extractives ;De 20 à 249 salariés en ETP ;S
a88 ;9;Services de soutien aux industries extractives ;Plus de 250 salariés en ETP ;N
a272 ;91;Activités de soutien à l'extraction d'hydrocarbures ;Ensemble des tranches d'effectif ;272,6
a272 ;91;Activités de soutien à l'extraction d'hydrocarbures ;De 0 à 9 salariés en ETP ;S
a272 ;91;Activités de soutien à l'extraction d'hydrocarbures ;De 10 à 19 salariés en ETP ;S
a272 ;91;Activités de soutien à l'extraction d'hydrocarbures ;De 20 à 249 salariés en ETP ;S
a272 ;91;Activités de soutien à l'extraction d'hydrocarbures ;Plus de 250 salariés en ETP ;N
a272 ;99;Activités de soutien aux autres industries extractives ;Ensemble des tranches d'effectif ;13,1
a272 ;99;Activités de soutien aux autres industries extractives ;De 0 à 9 salariés en ETP ;S
a272 ;99;Activités de soutien aux autres industries extractives ;De 10 à 19 salariés en ETP ;N
a272 ;99;Activités de soutien aux autres industries extractives ;De 20 à 249 salariés en ETP ;S
a272 ;99;Activités de soutien aux autres industries extractives ;Plus de 250 salariés en ETP ;N
a21 ;C ;Industrie manufacturière ;Ensemble des tranches d'effectif ;709947
a21 ;C ;Industrie manufacturière ;De 0 à 9 salariés en ETP ;59879,5
a21 ;C ;Industrie manufacturière ;De 10 à 19 salariés en ETP ;27671,3
a21 ;C ;Industrie manufacturière ;De 20 à 249 salariés en ETP ;210052,5
a21 ;C ;Industrie manufacturière ;Plus de 250 salariés en ETP ;412350,3
a21 ;Cy ;Industrie manufacturière, dont artisanat commercial (*) ;Ensemble des tranches d'effectif ;N
a21 ;Cy ;Industrie manufacturière, dont artisanat commercial (*) ;De 0 à 9 salariés en ETP ;N
a21 ;Cy ;Industrie manufacturière, dont artisanat commercial (*) ;De 10 à 19 salariés en ETP ;N
a21 ;Cy ;Industrie manufacturière, dont artisanat commercial (*) ;De 20 à 249 salariés en ETP ;N
a21 ;Cy ;Industrie manufacturière, dont artisanat commercial (*) ;Plus de 250 salariés en ETP ;N
a88 ;10;Industries alimentaires ;Ensemble des tranches d'effectif ;126065
a88 ;10;Industries alimentaires ;De 0 à 9 salariés en ETP ;14474,2
a88 ;10;Industries alimentaires ;De 10 à 19 salariés en ETP ;5257,6
a88 ;10;Industries alimentaires ;De 20 à 249 salariés en ETP ;43899,8
a88 ;10;Industries alimentaires ;Plus de 250 salariés en ETP ;62432,8
a88 ;10y ;Industries alimentaires, dont artisanat commercial (*) ;Ensemble des tranches d'effectif ;N
a88 ;10y ;Industries alimentaires, dont artisanat commercial (*) ;De 0 à 9 salariés en ETP ;N
a88 ;10y ;Industries alimentaires, dont artisanat commercial (*) ;De 10 à 19 salariés en ETP ;N
a88 ;10y ;Industries alimentaires, dont artisanat commercial (*) ;De 20 à 249 salariés en ETP ;N
a88 ;10y ;Industries alimentaires, dont artisanat commercial (*) ;Plus de 250 salariés en ETP ;N
a272 ;101;Transformation et conservation de la viande et préparation de produits à base de viande ;Ensemble des tranches d'effectif ;30882,7
a272 ;101;Transformation et conservation de la viande et préparation de produits à base de viande ;De 0 à 9 salariés en ETP ;2641,2
a272 ;101;Transformation et conservation de la viande et préparation de produits à base de viande ;De 10 à 19 salariés en ETP ;1266,9
a272 ;101;Transformation et conservation de la viande et préparation de produits à base de viande ;De 20 à 249 salariés en ETP ;10845,9
a272 ;101;Transformation et conservation de la viande et préparation de produits à base de viande ;Plus de 250 salariés en ETP ;16128,6
a272 ;101y ;Transformation et conservation de la viande et préparation de produits à base de viande, dont artisanat commercial (**) ;Ensemble des tranches d'effectif ;N
a272 ;101y ;Transformation et conservation de la viande et préparation de produits à base de viande, dont artisanat commercial (**) ;De 0 à 9 salariés en ETP ;N
a272 ;101y ;Transformation et conservation de la viande et préparation de produits à base de viande, dont artisanat commercial (**) ;De 10 à 19 salariés en ETP ;N
a272 ;101y ;Transformation et conservation de la viande et préparation de produits à base de viande, dont artisanat commercial (**) ;De 20 à 249 salariés en ETP ;N
a272 ;101y ;Transformation et conservation de la viande et préparation de produits à base de viande, dont artisanat commercial (**) ;Plus de 250 salariés en ETP ;N
a272 ;102;Transformation et conservation de poisson, de crustacés et de mollusques ;Ensemble des tranches d'effectif ;2654
a272 ;102;Transformation et conservation de poisson, de crustacés et de mollusques ;De 0 à 9 salariés en ETP ;S
a272 ;102;Transformation et conservation de poisson, de crustacés et de mollusques ;De 10 à 19 salariés en ETP ;177,8
a272 ;102;Transformation et conservation de poisson, de crustacés et de mollusques ;De 20 à 249 salariés en ETP ;1239,3
a272 ;102;Transformation et conservation de poisson, de crustacés et de mollusques ;Plus de 250 salariés en ETP ;S
a272 ;103;Transformation et conservation de fruits et légumes ;Ensemble des tranches d'effectif ;6692,8
a272 ;103;Transformation et conservation de fruits et légumes ;De 0 à 9 salariés en ETP ;481,1
a272 ;103;Transformation et conservation de fruits et légumes ;De 10 à 19 salariés en ETP ;181,4
a272 ;103;Transformation et conservation de fruits et légumes ;De 20 à 249 salariés en ETP ;2907,7
a272 ;103;Transformation et conservation de fruits et légumes ;Plus de 250 salariés en ETP ;3122,7
a272 ;104;Fabrication d'huiles et graisses végétales et animales ;Ensemble des tranches d'effectif ;3135,9
a272 ;104;Fabrication d'huiles et graisses végétales et animales ;De 0 à 9 salariés en ETP ;S
a272 ;104;Fabrication d'huiles et graisses végétales et animales ;De 10 à 19 salariés en ETP ;134,2
a272 ;104;Fabrication d'huiles et graisses végétales et animales ;De 20 à 249 salariés en ETP ;629,4
a272 ;104;Fabrication d'huiles et graisses végétales et animales ;Plus de 250 salariés en ETP ;S
a272 ;105;Fabrication de produits laitiers ;Ensemble des tranches d'effectif ;25000,4
a272 ;105;Fabrication de produits laitiers ;De 0 à 9 salariés en ETP ;1176,6
a272 ;105;Fabrication de produits laitiers ;De 10 à 19 salariés en ETP ;592
a272 ;105;Fabrication de produits laitiers ;De 20 à 249 salariés en ETP ;8544,3
a272 ;105;Fabrication de produits laitiers ;Plus de 250 salariés en ETP ;14687,1
a272 ;106;Travail des grains - fabrication de produits amylacés ;Ensemble des tranches d'effectif ;5846,7
a272 ;106;Travail des grains - fabrication de produits amylacés ;De 0 à 9 salariés en ETP ;S
a272 ;106;Travail des grains - fabrication de produits amylacés ;De 10 à 19 salariés en ETP ;293,7
a272 ;106;Travail des grains - fabrication de produits amylacés ;De 20 à 249 salariés en ETP ;1777,9
a272 ;106;Travail des grains - fabrication de produits amylacés ;Plus de 250 salariés en ETP ;S
a272 ;107;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires ;Ensemble des tranches d'effectif ;20158,2
a272 ;107;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires ;De 0 à 9 salariés en ETP ;8097,1
a272 ;107;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires ;De 10 à 19 salariés en ETP ;1370,1
a272 ;107;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires ;De 20 à 249 salariés en ETP ;5091,4
a272 ;107;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires ;Plus de 250 salariés en ETP ;5599,6
a272 ;107y ;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires, dont artisanat commercial (***) ;Ensemble des tranches d'effectif ;N
a272 ;107y ;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires, dont artisanat commercial (***) ;De 0 à 9 salariés en ETP ;N
a272 ;107y ;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires, dont artisanat commercial (***) ;De 10 à 19 salariés en ETP ;N
a272 ;107y ;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires, dont artisanat commercial (***) ;De 20 à 249 salariés en ETP ;N
a272 ;107y ;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires, dont artisanat commercial (***) ;Plus de 250 salariés en ETP ;N
a272 ;108;Fabrication d'autres produits alimentaires ;Ensemble des tranches d'effectif ;21826,2
a272 ;108;Fabrication d'autres produits alimentaires ;De 0 à 9 salariés en ETP ;1252,4
a272 ;108;Fabrication d'autres produits alimentaires ;De 10 à 19 salariés en ETP ;512,1
a272 ;108;Fabrication d'autres produits alimentaires ;De 20 à 249 salariés en ETP ;8155,5
a272 ;108;Fabrication d'autres produits alimentaires ;Plus de 250 salariés en ETP ;11906
a272 ;109;Fabrication d'aliments pour animaux ;Ensemble des tranches d'effectif ;9868,2
a272 ;109;Fabrication d'aliments pour animaux ;De 0 à 9 salariés en ETP ;327,9
a272 ;109;Fabrication d'aliments pour animaux ;De 10 à 19 salariés en ETP ;729,4
a272 ;109;Fabrication d'aliments pour animaux ;De 20 à 249 salariés en ETP ;4708,4
a272 ;109;Fabrication d'aliments pour animaux ;Plus de 250 salariés en ETP ;4102,4
a88 ;11;Fabrication de boissons ;Ensemble des tranches d'effectif ;20764
a88 ;11;Fabrication de boissons ;De 0 à 9 salariés en ETP ;1930,6
a88 ;11;Fabrication de boissons ;De 10 à 19 salariés en ETP ;1121,3
a88 ;11;Fabrication de boissons ;De 20 à 249 salariés en ETP ;7436,7
a88 ;11;Fabrication de boissons ;Plus de 250 salariés en ETP ;10275,9
a272 ;110;Fabrication de boissons ;Ensemble des tranches d'effectif ;20764
a272 ;110;Fabrication de boissons ;De 0 à 9 salariés en ETP ;1930,6
a272 ;110;Fabrication de boissons ;De 10 à 19 salariés en ETP ;1121,3
a272 ;110;Fabrication de boissons ;De 20 à 249 salariés en ETP ;7436,7
a272 ;110;Fabrication de boissons ;Plus de 250 salariés en ETP ;10275,9
a88 ;12;Fabrication de produits à base de tabac ;Ensemble des tranches d'effectif ;1063,6
a88 ;12;Fabrication de produits à base de tabac ;De 0 à 9 salariés en ETP ;S
a88 ;12;Fabrication de produits à base de tabac ;De 10 à 19 salariés en ETP ;N
a88 ;12;Fabrication de produits à base de tabac ;De 20 à 249 salariés en ETP ;S
a88 ;12;Fabrication de produits à base de tabac ;Plus de 250 salariés en ETP ;S
a272 ;120;Fabrication de produits à base de tabac ;Ensemble des tranches d'effectif ;1063,6
a272 ;120;Fabrication de produits à base de tabac ;De 0 à 9 salariés en ETP ;S
a272 ;120;Fabrication de produits à base de tabac ;De 10 à 19 salariés en ETP ;N
a272 ;120;Fabrication de produits à base de tabac ;De 20 à 249 salariés en ETP ;S
a272 ;120;Fabrication de produits à base de tabac ;Plus de 250 salariés en ETP ;S
a88 ;13;Fabrication de textiles ;Ensemble des tranches d'effectif ;7026,9
a88 ;13;Fabrication de textiles ;De 0 à 9 salariés en ETP ;1063,3
a88 ;13;Fabrication de textiles ;De 10 à 19 salariés en ETP ;672,4
a88 ;13;Fabrication de textiles ;De 20 à 249 salariés en ETP ;4125,7
a88 ;13;Fabrication de textiles ;Plus de 250 salariés en ETP ;1165,5
a272 ;131;Préparation de fibres textiles et filature ;Ensemble des tranches d'effectif ;539,1
a272 ;131;Préparation de fibres textiles et filature ;De 0 à 9 salariés en ETP ;71
a272 ;131;Préparation de fibres textiles et filature ;De 10 à 19 salariés en ETP ;S
a272 ;131;Préparation de fibres textiles et filature ;De 20 à 249 salariés en ETP ;343,2
a272 ;131;Préparation de fibres textiles et filature ;Plus de 250 salariés en ETP ;S
a272 ;132;Tissage ;Ensemble des tranches d'effectif ;1196
a272 ;132;Tissage ;De 0 à 9 salariés en ETP ;87,4
a272 ;132;Tissage ;De 10 à 19 salariés en ETP ;S
a272 ;132;Tissage ;De 20 à 249 salariés en ETP ;703,4
a272 ;132;Tissage ;Plus de 250 salariés en ETP ;S
a272 ;133;Ennoblissement textile ;Ensemble des tranches d'effectif ;561,5
a272 ;133;Ennoblissement textile ;De 0 à 9 salariés en ETP ;130,2
a272 ;133;Ennoblissement textile ;De 10 à 19 salariés en ETP ;85,8
a272 ;133;Ennoblissement textile ;De 20 à 249 salariés en ETP ;345,6
a272 ;133;Ennoblissement textile ;Plus de 250 salariés en ETP ;N
a272 ;139;Fabrication d'autres textiles ;Ensemble des tranches d'effectif ;4730,3
a272 ;139;Fabrication d'autres textiles ;De 0 à 9 salariés en ETP ;774,7
a272 ;139;Fabrication d'autres textiles ;De 10 à 19 salariés en ETP ;387,3
a272 ;139;Fabrication d'autres textiles ;De 20 à 249 salariés en ETP ;2733,5
a272 ;139;Fabrication d'autres textiles ;Plus de 250 salariés en ETP ;834,8
a88 ;14;Industrie de l'habillement ;Ensemble des tranches d'effectif ;6820,6
a88 ;14;Industrie de l'habillement ;De 0 à 9 salariés en ETP ;1220
a88 ;14;Industrie de l'habillement ;De 10 à 19 salariés en ETP ;693,2
a88 ;14;Industrie de l'habillement ;De 20 à 249 salariés en ETP ;3457,4
a88 ;14;Industrie de l'habillement ;Plus de 250 salariés en ETP ;1449,9
a272 ;141;Fabrication de vêtements, autres qu'en fourrure ;Ensemble des tranches d'effectif ;5896,4
a272 ;141;Fabrication de vêtements, autres qu'en fourrure ;De 0 à 9 salariés en ETP ;1154,9
a272 ;141;Fabrication de vêtements, autres qu'en fourrure ;De 10 à 19 salariés en ETP ;S
a272 ;141;Fabrication de vêtements, autres qu'en fourrure ;De 20 à 249 salariés en ETP ;3206,9
a272 ;141;Fabrication de vêtements, autres qu'en fourrure ;Plus de 250 salariés en ETP ;S
a272 ;142;Fabrication d'articles en fourrure ;Ensemble des tranches d'effectif ;56
a272 ;142;Fabrication d'articles en fourrure ;De 0 à 9 salariés en ETP ;S
a272 ;142;Fabrication d'articles en fourrure ;De 10 à 19 salariés en ETP ;S
a272 ;142;Fabrication d'articles en fourrure ;De 20 à 249 salariés en ETP ;S
a272 ;142;Fabrication d'articles en fourrure ;Plus de 250 salariés en ETP ;N
a272 ;143;Fabrication d'articles à mailles ;Ensemble des tranches d'effectif ;868,2
a272 ;143;Fabrication d'articles à mailles ;De 0 à 9 salariés en ETP ;S
a272 ;143;Fabrication d'articles à mailles ;De 10 à 19 salariés en ETP ;S
a272 ;143;Fabrication d'articles à mailles ;De 20 à 249 salariés en ETP ;S
a272 ;143;Fabrication d'articles à mailles ;Plus de 250 salariés en ETP ;S
a88 ;15;Industrie du cuir et de la chaussure ;Ensemble des tranches d'effectif ;2958,6
a88 ;15;Industrie du cuir et de la chaussure ;De 0 à 9 salariés en ETP ;S
a88 ;15;Industrie du cuir et de la chaussure ;De 10 à 19 salariés en ETP ;S
a88 ;15;Industrie du cuir et de la chaussure ;De 20 à 249 salariés en ETP ;S
a88 ;15;Industrie du cuir et de la chaussure ;Plus de 250 salariés en ETP ;S
a272 ;151;Apprêt et tannage des cuirs ;Ensemble des tranches d'effectif ;2130,5
a272 ;151;Apprêt et tannage des cuirs ;De 0 à 9 salariés en ETP ;256,9
a272 ;151;Apprêt et tannage des cuirs ;De 10 à 19 salariés en ETP ;59
a272 ;151;Apprêt et tannage des cuirs ;De 20 à 249 salariés en ETP ;785,3
a272 ;151;Apprêt et tannage des cuirs ;Plus de 250 salariés en ETP ;1029,3
a272 ;152;Fabrication de chaussures ;Ensemble des tranches d'effectif ;828,1
a272 ;152;Fabrication de chaussures ;De 0 à 9 salariés en ETP ;S
a272 ;152;Fabrication de chaussures ;De 10 à 19 salariés en ETP ;S
a272 ;152;Fabrication de chaussures ;De 20 à 249 salariés en ETP ;S
a272 ;152;Fabrication de chaussures ;Plus de 250 salariés en ETP ;S
a88 ;16;Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles - fabrication d'articles en vannerie et sparterie ;Ensemble des tranches d'effectif ;10257,4
a88 ;16;Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles - fabrication d'articles en vannerie et sparterie ;De 0 à 9 salariés en ETP ;1980,9
