NIVEAU;BRANCHE;LIB_NAF;Tranche de taille d'effectif;Chiffre d'affaires de la branche
a21 ;Cy ;Industrie manufacturière, dont artisanat commercial (*) ;Plus de 250 salariés en ETP ;N
a88 ;10;Industries alimentaires ;Ensemble des tranches d'effectif ;139075,1
a88 ;10;Industries alimentaires ;De 0 à 9 salariés en ETP ;13771,9
a88 ;10;Industries alimentaires ;De 10 à 19 salariés en ETP ;6448,2
a88 ;10;Industries alimentaires ;De 20 à 249 salariés en ETP ;48855,6
a88 ;10;Industries alimentaires ;Plus de 250 salariés en ETP ;69999,4
a88 ;10y ;Industries alimentaires, dont artisanat commercial (*) ;Ensemble des tranches d'effectif ;N
a88 ;10y ;Industries alimentaires, dont artisanat commercial (*) ;De 0 à 9 salariés en ETP ;N
a88 ;10y ;Industries alimentaires, dont artisanat commercial (*) ;De 10 à 19 salariés en ETP ;N
a88 ;10y ;Industries alimentaires, dont artisanat commercial (*) ;De 20 à 249 salariés en ETP ;N
a88 ;10y ;Industries alimentaires, dont artisanat commercial (*) ;Plus de 250 salariés en ETP ;N
a272 ;101;Transformation et conservation de la viande et préparation de produits à base de viande ;Ensemble des tranches d'effectif ;32792,9
a272 ;101;Transformation et conservation de la viande et préparation de produits à base de viande ;De 0 à 9 salariés en ETP ;2566,6
a272 ;101;Transformation et conservation de la viande et préparation de produits à base de viande ;De 10 à 19 salariés en ETP ;1295,3
a272 ;101;Transformation et conservation de la viande et préparation de produits à base de viande ;De 20 à 249 salariés en ETP ;11523,9
a272 ;101;Transformation et conservation de la viande et préparation de produits à base de viande ;Plus de 250 salariés en ETP ;17407,2
a272 ;101y ;Transformation et conservation de la viande et préparation de produits à base de viande, dont artisanat commercial (**) ;Ensemble des tranches d'effectif ;N
a272 ;101y ;Transformation et conservation de la viande et préparation de produits à base de viande, dont artisanat commercial (**) ;De 0 à 9 salariés en ETP ;N
a272 ;101y ;Transformation et conservation de la viande et préparation de produits à base de viande, dont artisanat commercial (**) ;De 10 à 19 salariés en ETP ;N
a272 ;101y ;Transformation et conservation de la viande et préparation de produits à base de viande, dont artisanat commercial (**) ;De 20 à 249 salariés en ETP ;N
a272 ;101y ;Transformation et conservation de la viande et préparation de produits à base de viande, dont artisanat commercial (**) ;Plus de 250 salariés en ETP ;N
a272 ;102;Transformation et conservation de poisson, de crustacés et de mollusques ;Ensemble des tranches d'effectif ;2933,9
a272 ;102;Transformation et conservation de poisson, de crustacés et de mollusques ;De 0 à 9 salariés en ETP ;115
a272 ;102;Transformation et conservation de poisson, de crustacés et de mollusques ;De 10 à 19 salariés en ETP ;255
a272 ;102;Transformation et conservation de poisson, de crustacés et de mollusques ;De 20 à 249 salariés en ETP ;1280,9
a272 ;102;Transformation et conservation de poisson, de crustacés et de mollusques ;Plus de 250 salariés en ETP ;1283
a272 ;103;Transformation et conservation de fruits et légumes ;Ensemble des tranches d'effectif ;6754,1
a272 ;103;Transformation et conservation de fruits et légumes ;De 0 à 9 salariés en ETP ;402,8
a272 ;103;Transformation et conservation de fruits et légumes ;De 10 à 19 salariés en ETP ;227
a272 ;103;Transformation et conservation de fruits et légumes ;De 20 à 249 salariés en ETP ;2732,5
a272 ;103;Transformation et conservation de fruits et légumes ;Plus de 250 salariés en ETP ;3391,9
a272 ;104;Fabrication d'huiles et graisses végétales et animales ;Ensemble des tranches d'effectif ;5365,7
a272 ;104;Fabrication d'huiles et graisses végétales et animales ;De 0 à 9 salariés en ETP ;414
a272 ;104;Fabrication d'huiles et graisses végétales et animales ;De 10 à 19 salariés en ETP ;179,1
a272 ;104;Fabrication d'huiles et graisses végétales et animales ;De 20 à 249 salariés en ETP ;687,7
a272 ;104;Fabrication d'huiles et graisses végétales et animales ;Plus de 250 salariés en ETP ;4084,9
a272 ;105;Fabrication de produits laitiers ;Ensemble des tranches d'effectif ;26715,4
a272 ;105;Fabrication de produits laitiers ;De 0 à 9 salariés en ETP ;1356,2
a272 ;105;Fabrication de produits laitiers ;De 10 à 19 salariés en ETP ;568,3
a272 ;105;Fabrication de produits laitiers ;De 20 à 249 salariés en ETP ;9682,3
a272 ;105;Fabrication de produits laitiers ;Plus de 250 salariés en ETP ;15108,7
a272 ;106;Travail des grains - fabrication de produits amylacés ;Ensemble des tranches d'effectif ;6279,2
a272 ;106;Travail des grains - fabrication de produits amylacés ;De 0 à 9 salariés en ETP ;282,2
a272 ;106;Travail des grains - fabrication de produits amylacés ;De 10 à 19 salariés en ETP ;313,8
a272 ;106;Travail des grains - fabrication de produits amylacés ;De 20 à 249 salariés en ETP ;1886,7
a272 ;106;Travail des grains - fabrication de produits amylacés ;Plus de 250 salariés en ETP ;3796,5
a272 ;107;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires ;Ensemble des tranches d'effectif ;22755,2
a272 ;107;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires ;De 0 à 9 salariés en ETP ;7053,7
a272 ;107;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires ;De 10 à 19 salariés en ETP ;1982,7
a272 ;107;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires ;De 20 à 249 salariés en ETP ;6407,6
a272 ;107;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires ;Plus de 250 salariés en ETP ;7311,3
a272 ;107y ;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires, dont artisanat commercial (***) ;Ensemble des tranches d'effectif ;N
a272 ;107y ;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires, dont artisanat commercial (***) ;De 0 à 9 salariés en ETP ;N
a272 ;107y ;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires, dont artisanat commercial (***) ;De 10 à 19 salariés en ETP ;N
a272 ;107y ;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires, dont artisanat commercial (***) ;De 20 à 249 salariés en ETP ;N
a272 ;107y ;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires, dont artisanat commercial (***) ;Plus de 250 salariés en ETP ;N
a272 ;108;Fabrication d'autres produits alimentaires ;Ensemble des tranches d'effectif ;23611,2
a272 ;108;Fabrication d'autres produits alimentaires ;De 0 à 9 salariés en ETP ;1102,9
a272 ;108;Fabrication d'autres produits alimentaires ;De 10 à 19 salariés en ETP ;785,7
a272 ;108;Fabrication d'autres produits alimentaires ;De 20 à 249 salariés en ETP ;8938,6
a272 ;108;Fabrication d'autres produits alimentaires ;Plus de 250 salariés en ETP ;12783,9
a272 ;109;Fabrication d'aliments pour animaux ;Ensemble des tranches d'effectif ;11867,5
a272 ;109;Fabrication d'aliments pour animaux ;De 0 à 9 salariés en ETP ;478,5
a272 ;109;Fabrication d'aliments pour animaux ;De 10 à 19 salariés en ETP ;841,3
a272 ;109;Fabrication d'aliments pour animaux ;De 20 à 249 salariés en ETP ;5715,5
a272 ;109;Fabrication d'aliments pour animaux ;Plus de 250 salariés en ETP ;4832,1
a88 ;11;Fabrication de boissons ;Ensemble des tranches d'effectif ;23141,5
a88 ;11;Fabrication de boissons ;De 0 à 9 salariés en ETP ;3129,1
a88 ;11;Fabrication de boissons ;De 10 à 19 salariés en ETP ;1079,1
a88 ;11;Fabrication de boissons ;De 20 à 249 salariés en ETP ;8046,4
a88 ;11;Fabrication de boissons ;Plus de 250 salariés en ETP ;10887
a272 ;110;Fabrication de boissons ;Ensemble des tranches d'effectif ;23141,5
a272 ;110;Fabrication de boissons ;De 0 à 9 salariés en ETP ;3129,1
a272 ;110;Fabrication de boissons ;De 10 à 19 salariés en ETP ;1079,1
a272 ;110;Fabrication de boissons ;De 20 à 249 salariés en ETP ;8046,4
a272 ;110;Fabrication de boissons ;Plus de 250 salariés en ETP ;10887
a88 ;12;Fabrication de produits à base de tabac ;Ensemble des tranches d'effectif ;1021,5
a88 ;12;Fabrication de produits à base de tabac ;De 0 à 9 salariés en ETP ;S
a88 ;12;Fabrication de produits à base de tabac ;De 10 à 19 salariés en ETP ;N
a88 ;12;Fabrication de produits à base de tabac ;De 20 à 249 salariés en ETP ;S
a88 ;12;Fabrication de produits à base de tabac ;Plus de 250 salariés en ETP ;S
a272 ;120;Fabrication de produits à base de tabac ;Ensemble des tranches d'effectif ;1021,5
a272 ;120;Fabrication de produits à base de tabac ;De 0 à 9 salariés en ETP ;S
a272 ;120;Fabrication de produits à base de tabac ;De 10 à 19 salariés en ETP ;N
a272 ;120;Fabrication de produits à base de tabac ;De 20 à 249 salariés en ETP ;S
a272 ;120;Fabrication de produits à base de tabac ;Plus de 250 salariés en ETP ;S
a88 ;13;Fabrication de textiles ;Ensemble des tranches d'effectif ;6589,8
a88 ;13;Fabrication de textiles ;De 0 à 9 salariés en ETP ;895,9
a88 ;13;Fabrication de textiles ;De 10 à 19 salariés en ETP ;S
a88 ;13;Fabrication de textiles ;De 20 à 249 salariés en ETP ;3990,8
a88 ;13;Fabrication de textiles ;Plus de 250 salariés en ETP ;S
a272 ;131;Préparation de fibres textiles et filature ;Ensemble des tranches d'effectif ;501,7
a272 ;131;Préparation de fibres textiles et filature ;De 0 à 9 salariés en ETP ;129
a272 ;131;Préparation de fibres textiles et filature ;De 10 à 19 salariés en ETP ;S
a272 ;131;Préparation de fibres textiles et filature ;De 20 à 249 salariés en ETP ;285,3
a272 ;131;Préparation de fibres textiles et filature ;Plus de 250 salariés en ETP ;S
a272 ;132;Tissage ;Ensemble des tranches d'effectif ;1143,2
a272 ;132;Tissage ;De 0 à 9 salariés en ETP ;131,9
a272 ;132;Tissage ;De 10 à 19 salariés en ETP ;80,6
a272 ;132;Tissage ;De 20 à 249 salariés en ETP ;669,7
a272 ;132;Tissage ;Plus de 250 salariés en ETP ;261
a272 ;133;Ennoblissement textile ;Ensemble des tranches d'effectif ;306
a272 ;133;Ennoblissement textile ;De 0 à 9 salariés en ETP ;80,8
a272 ;133;Ennoblissement textile ;De 10 à 19 salariés en ETP ;42
a272 ;133;Ennoblissement textile ;De 20 à 249 salariés en ETP ;183,2
a272 ;133;Ennoblissement textile ;Plus de 250 salariés en ETP ;N
a272 ;139;Fabrication d'autres textiles ;Ensemble des tranches d'effectif ;4638,9
a272 ;139;Fabrication d'autres textiles ;De 0 à 9 salariés en ETP ;554,1
a272 ;139;Fabrication d'autres textiles ;De 10 à 19 salariés en ETP ;397,9
a272 ;139;Fabrication d'autres textiles ;De 20 à 249 salariés en ETP ;2852,6
a272 ;139;Fabrication d'autres textiles ;Plus de 250 salariés en ETP ;834,2
a88 ;14;Industrie de l'habillement ;Ensemble des tranches d'effectif ;6419,6
a88 ;14;Industrie de l'habillement ;De 0 à 9 salariés en ETP ;841,2
a88 ;14;Industrie de l'habillement ;De 10 à 19 salariés en ETP ;633,8
a88 ;14;Industrie de l'habillement ;De 20 à 249 salariés en ETP ;3151,2
a88 ;14;Industrie de l'habillement ;Plus de 250 salariés en ETP ;1793,4
a272 ;141;Fabrication de vêtements, autres qu'en fourrure ;Ensemble des tranches d'effectif ;5357,5
a272 ;141;Fabrication de vêtements, autres qu'en fourrure ;De 0 à 9 salariés en ETP ;757,8
a272 ;141;Fabrication de vêtements, autres qu'en fourrure ;De 10 à 19 salariés en ETP ;614,1
a272 ;141;Fabrication de vêtements, autres qu'en fourrure ;De 20 à 249 salariés en ETP ;2791,8
a272 ;141;Fabrication de vêtements, autres qu'en fourrure ;Plus de 250 salariés en ETP ;1193,8
a272 ;142;Fabrication d'articles en fourrure ;Ensemble des tranches d'effectif ;59,3
a272 ;142;Fabrication d'articles en fourrure ;De 0 à 9 salariés en ETP ;S
a272 ;142;Fabrication d'articles en fourrure ;De 10 à 19 salariés en ETP ;S
a272 ;142;Fabrication d'articles en fourrure ;De 20 à 249 salariés en ETP ;S
a272 ;142;Fabrication d'articles en fourrure ;Plus de 250 salariés en ETP ;N
a272 ;143;Fabrication d'articles à mailles ;Ensemble des tranches d'effectif ;1002,9
a272 ;143;Fabrication d'articles à mailles ;De 0 à 9 salariés en ETP ;S
a272 ;143;Fabrication d'articles à mailles ;De 10 à 19 salariés en ETP ;S
a272 ;143;Fabrication d'articles à mailles ;De 20 à 249 salariés en ETP ;S
a272 ;143;Fabrication d'articles à mailles ;Plus de 250 salariés en ETP ;599,5
a88 ;15;Industrie du cuir et de la chaussure ;Ensemble des tranches d'effectif ;3685,3
a88 ;15;Industrie du cuir et de la chaussure ;De 0 à 9 salariés en ETP ;S
a88 ;15;Industrie du cuir et de la chaussure ;De 10 à 19 salariés en ETP ;S
a88 ;15;Industrie du cuir et de la chaussure ;De 20 à 249 salariés en ETP ;S
a88 ;15;Industrie du cuir et de la chaussure ;Plus de 250 salariés en ETP ;1630,4
a272 ;151;Apprêt et tannage des cuirs ;Ensemble des tranches d'effectif ;2835,3
a272 ;151;Apprêt et tannage des cuirs ;De 0 à 9 salariés en ETP ;136,9
a272 ;151;Apprêt et tannage des cuirs ;De 10 à 19 salariés en ETP ;192
a272 ;151;Apprêt et tannage des cuirs ;De 20 à 249 salariés en ETP ;1056,3
a272 ;151;Apprêt et tannage des cuirs ;Plus de 250 salariés en ETP ;1450,2
a272 ;152;Fabrication de chaussures ;Ensemble des tranches d'effectif ;850
a272 ;152;Fabrication de chaussures ;De 0 à 9 salariés en ETP ;S
a272 ;152;Fabrication de chaussures ;De 10 à 19 salariés en ETP ;S
a272 ;152;Fabrication de chaussures ;De 20 à 249 salariés en ETP ;S
a272 ;152;Fabrication de chaussures ;Plus de 250 salariés en ETP ;180,2
a88 ;16;Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles - fabrication d'articles en vannerie et sparterie ;Ensemble des tranches d'effectif ;10765
a88 ;16;Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles - fabrication d'articles en vannerie et sparterie ;De 0 à 9 salariés en ETP ;1900,9
a88 ;16;Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles - fabrication d'articles en vannerie et sparterie ;De 10 à 19 salariés en ETP ;1568,1
a88 ;16;Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles - fabrication d'articles en vannerie et sparterie ;De 20 à 249 salariés en ETP ;5662
a88 ;16;Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles - fabrication d'articles en vannerie et sparterie ;Plus de 250 salariés en ETP ;1634
a272 ;161;Sciage et rabotage du bois ;Ensemble des tranches d'effectif ;3029
a272 ;161;Sciage et rabotage du bois ;De 0 à 9 salariés en ETP ;807,9
