Identifiant;Type d'événement;Ident Type;Lieu de l'événement;Nom Organisme;Type d'organisme;Ident Organisme;Etat;Theme;Style;Catégorie;Genre;Ident Genre;Titre;Texte Début;Texte Milieu;Texte Fin;Commune;Département;Code INSEE;Code Postal;Coordonnées GPS;Date Modification;Jour 1;Jour 2;Jour 3;Jour Du;Jour Au;Jour Min;Jour Max;Mention Gratuit;Mention Payant;Tarif Général;Tarif réduit;Tarif Autre;Photo 1 Chemin;Photo 1 Légende;Photo 1 Crédit;Photo 2 Chemin;Photo 2 Légende;Photo 2 Crédit;Photo 3 Chemin;Photo 3 Légende;Photo 3 Crédit;Age Minimum;Age Maximum;Durée;Mention Complet;Mention Accessible Handicap;Lien Billeterie;Liens Vidéo;Liens Son;Liens Dossiers De Presse;Tags;Groupes;Titre Libre;Texte Libre Court;Texte Libre Long;Groupes Organismes;Nombres Participants;Nombre Exposants;URL Agenda Ouest-France;Groupes Ident;Groupes Organismes Ident;Langues;Langues Ident;Thematiques;Thematiques Ident;Categorie age;Categorie age Ident
6413300;Horaire piscine, bibliothèque;16;44/Vallons-de-l'Erdre;Compa Bibliofil;Administration, service public, parapublic;317717;V;Pratique;Loisirs et sports;Horaires piscine, bibliothèque ...;Bibliothèque;198;Bibliothèque;;Bébés lecteurs, pour les enfants de 0 à 3 ans. Gratuit et ouvert à tous.;Jeudi 7 février, 10h, bibliothèque, place de la Mairie, Saint-Sulpice-des-Landes, Vallons-de-l'Erdre. Contact : 02 40 97 37 26.;Vallons-de-l'Erdre;44;44180;44540;47.57413, -1.205966;2019-01-17;2019-02-07;;;;;2019-02-07;2019-02-07;non;non;;;;;;;;;;;;;;;;;Visuel|Mental|Moteur;;;;;;;;;;;;;https://infolocale.ouest-france.fr/vallons-de-lerdre-44180/agenda/bibliotheque_6413300;;;Français;fr_FR;;;;
6414276;Réunion, assemblée;17;56/Meslan;Association Loisirs et amitié;Association;227339;V;Pratique;Réunions formations cérémonies;Réunions, conseils, assemblées générales;Assemblée générale;100;Association Loisirs et amitié;Assemblée générale.;Elle sera suivie d’un repas servi au Vieux Puits. Montant de la cotisation annuelle : 17 €.;Jeudi 24 janvier, 11h, Le Vieux Puits, Meslan. Contact : 02 97 34 29 82.;Meslan;56;56131;56320;47.9947, -3.43239;2019-01-17;2019-01-24;;;;;2019-01-24;2019-01-24;non;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/meslan-56131/agenda/association-loisirs-et-amitie_6414276;;;Français;fr_FR;;;;
6413321;Horaire piscine, bibliothèque;16;44/Vallons-de-l'Erdre;Compa Bibliofil;Administration, service public, parapublic;317717;V;Pratique;Loisirs et sports;Horaires piscine, bibliothèque ...;Bibliothèque;198;Bibliothèque;;Trico'thé. Vous aimez tricoter, crocheter, broder, papoter? Venez le faire à la bibliothèque et apportez votre ouvrage. Gratuit et ouvert à tous.;Vendredi 1er février, 15h, bibliothèque, Bonnoeuvre, Vallons-de-l'Erdre. Contact : 02 40 97 37 26.;Vallons-de-l'Erdre;44;44180;44540;47.52781, -1.238905;2019-01-17;2019-02-01;;;;;2019-02-01;2019-02-01;non;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/vallons-de-lerdre-44180/agenda/bibliotheque_6413321;;;Français;fr_FR;;;;
6413864;Réunion, assemblée;17;49/Bellevigne-en-Layon;Club l'Âge d'or;Association;336301;V;Pratique;Réunions formations cérémonies;Réunions, conseils, assemblées générales;Assemblée générale;100;Club l’Âge d’or;Assemblée générale.;Pour toutes les personnes intéressées.;Mercredi 30 janvier, 14h, salle des Douves, Thouarcé, Bellevigne-en-Layon.;Bellevigne-en-Layon;49;49345;49380;47.26759, -0.5039;2019-01-17;2019-01-30;;;;;2019-01-30;2019-01-30;non;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/bellevigne-en-layon-49345/agenda/club-lage-dor_6413864;;;Français;fr_FR;;;;
6413835;Randonnée;14;22/Lannion;Rando Trégor;Association;45340;V;Loisir;Loisirs et sports;Sport;Randonnée pédestre;112;Rando Trégor;Randonnée pédestre.;Circuit de 12 km.;Vendredi 25 janvier, 13h45, parking de du bourg, Buhulien, Lannion. Tarif Cotisation annuelle.;Lannion;22;22113;22300;48.73207, -3.45867;2019-01-17;2019-01-25;;;;;2019-01-25;2019-01-25;non;oui;;;Cotisation annuelle;;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/lannion-22113/agenda/rando-tregor_6413835;;;Français;fr_FR;;;;
6413843;Réunion, assemblée;17;49/Val-du-Layon;Amicale laïque;Association;111454;V;Pratique;Réunions formations cérémonies;Réunions, conseils, assemblées générales;Assemblée générale;100;Amicale laïque;Assemblée générale. Vendredi 18 janvier, 20h30, salle de l’Amicale laïque, rue de la Gare, Saint-Aubin-de-Luigné, Val-du-Layon.;;;Val-du-Layon;49;49292;49750;47.32515, -0.66401;2019-01-17;2019-01-18;;;;;2019-01-18;2019-01-18;non;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/val-du-layon-49292/agenda/amicale-laique_6413843;;;Français;fr_FR;;;;
6414180;Jeux, concours;29;79/Argenton-les-Vallées;la bonne entente;Association;318996;V;Loisir;Loisirs et sports;Jeux, concours, rallye;Concours;286;Concours de belote;;Concours organisé par La Fraternelle, mercredi 23 janvier, à partir de 13 h 30, salle communale.;Mercredi 23 janvier, 13h30, salle communale, Sanzay, Argenton-les-Vallées. Payant.;Argenton-les-Vallées;79;79013;79150;46.98333, -0.46667;2019-01-17;2019-01-23;;;;;2019-01-23;2019-01-23;non;oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/argenton-les-vallees-79013/agenda/concours-de-belote_6414180;;;Français;fr_FR;;;;
6413935;Atelier, activité de loisirs;31;29/Quimper;Atelier BIS-ART;Association;55837;V;Loisir;Loisirs et sports;Atelier, activité de loisirs;Autre;141;Stage Feldenkrais et Peinture. Le Souffle et le Geste en Peinture;;Une journée pour toucher en vous l'authenticité du geste et de sa trace sur le papier. Feldenkrais permet un accès tout en douceur à votre sensibilité et à votre force intérieure. Parce que l'apprentissage de soi dépasse tout niveau, bienvenue aux débutants comme aux artistes passionnés.;Samedi 2 février, 9h30 à 17h, Lanriec à Pouldergat, Quimper. Tarif 70€, réduit 60€, autre : étudiants et moins de 25 ans 50€. Inscription avant le 26 janvier. Contact : 02 98 92 31 74, 06 95 65 15 30, bis-art.pouzet@orange.fr, http://www.c-bis-art.com;Quimper;29;29232;29000;48.06242, -4.341404;2019-01-17;2019-02-02;;;;;2019-02-02;2019-02-02;non;oui;70.0;60.0;étudiants et moins de 25 ans 50€;http://photos.infolocale.fr/infoLocale/annonce/2019/0116/6413935/_1.jpg;souffle du souffle;C.Pouzet;;;;;;;;;;;Moteur;;;;;;;;;;;12;;https://infolocale.ouest-france.fr/quimper-29232/agenda/stage-feldenkrais-et-peinture-le-souffle-et-le-geste-en-peinture_6413935;;;Français|Anglais;fr_FR|en_GB;;;;
6414379;Concert;15;37/Tours;AZ Prod, Producteur de spectacles et concerts;Autre organisme à but non lucratif;187678;V;Loisir;Concerts, spectacles;Concert, spectacle musical;Chanson;6;Véronique Sanson;;«Dignes, Dingues, Donc». C'est la prochaine tournée de Véronique Sanson en 2019, dans laquelle elle chantera les titres de l'album éponyme sorti le 4 novembre dernier et bien d'autres chansons de son répertoire, qu'elle offrira comme toujours du fond d'elle-même.;Mercredi 3 avril, 20h30, palais des congrès, 26, boulevard Heurteloup, Tours. Tarif De 45€ à 69€. Contact et réservation : 02 47 31 15 33, billetterie@az-prod.fr;Tours;37;37261;37000;47.39167, 0.6933814;2019-01-17;2019-04-03;;;;;2019-04-03;2019-04-03;non;oui;;;De 45€ à 69€;;;;;;;;;;;;;;Moteur;;;;;;;;;;;;;https://infolocale.ouest-france.fr/tours-37261/agenda/veronique-sanson_6414379;;;Français;fr_FR;;;;
6414133;Religion;50;22/Plémy;AD Paroisse;Institution religieuse;185082;V;Pratique;Réunions formations cérémonies;Cérémonie, commémoration, religions;Messe;108;Messe;;Messe du 2e dimanche du temps ordinaire. Année C. Messe en famille, remise du « Notre-Père », aux enfants en 1re année de catéchèse et du « Je vous salue Marie », pour les enfants en 2e année de catéchèse.;Dimanche 20 janvier, 10h30, à l’église Saint-Pierre et Saint-Paul, Plémy.;Plémy;22;22184;22150;48.33482, -2.68155;2019-01-17;2019-01-20;;;;;2019-01-20;2019-01-20;non;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/plemy-22184/agenda/messe_6414133;;;Français;fr_FR;;;;
6414463;Sport;24;56/Malguénac;le Ty Lou (bar concert ), évènements;Autre organisme à but non lucratif;209063;V;Loisir;Loisirs et sports;Sport;Match;117;Stade pontivyen A contre Vannes OC B;Samedi 19 janvier, 15h, stade municipal, Malguénac. Gratuit.;;;Malguénac;56;56125;56300;48.07988, -3.05069;2019-01-17;2019-01-19;;;;;2019-01-19;2019-01-19;oui;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/malguenac-56125/agenda/stade-pontivyen-a-contre-vannes-oc-b_6414463;;;Français;fr_FR;;;;
6414663;Dédicace;2;56/Arradon;Médiathèque municipale;Équipement (tourisme, culture, sport et loisir);32781;V;Loisir;Voir visiter;Dédicace, animation autour d'un livre;Livre, lecture publique...;147;Nuit de la lecture;;Avec des lecteurs et lectrices bénévoles. Gratuit et ouvert à tous les curieux.;Samedi 19 janvier, 20h, médiathèque, 13, rue Plessis-d’Arradon, Arradon. Contact : 32 97 44 85 00, mediatheque@arradon.fr;Arradon;56;56003;56610;47.62706, -2.826388;2019-01-17;2019-01-19;;;;;2019-01-19;2019-01-19;non;non;;;;http://photos.infolocale.fr/infoLocale/annonce/2019/0117/6414663/_1.jpg;;France Lozac'h;;;;;;;10;100;90;False;Visuel|Moteur;;;;;"lecture; médiathèque";Nuit de la lecture;Nuit de la Lecture;Des lecteurs et lectrices bénévoles vont vous embarquer , vous faire décoller, vous charmer, vous émouvoir, qui sait .. C'est gratuit, ouvert à tous les curieux,et c'est un événement « 100 % maison ». Cette année on vous fera voyager dans la pénombre de la médiathèque, avec toujours des surprises...;;Médiathèque du Morbihan;;;https://infolocale.ouest-france.fr/arradon-56003/agenda/nuit-de-la-lecture_6414663;16;58;Français;fr_FR;;;Tout public;1
6414329;Réunion, assemblée;17;44/Saint-Nicolas-de-Redon;Ville de Saint-Nicolas-de-Redon;Mairie;34859;V;Pratique;Réunions formations cérémonies;Réunions, conseils, assemblées générales;Réunion publique;99;Énergies renouvelables;Réunion publique. Organisateur : Mairie de Saint-Nicolas-de-Redon en partenariat avec Energie Citoyennes en Pays de Vilaine.;Quelles économies d’énergies ont été réalisées au niveau de la gestion communale et celle de ses habitants ? Quelles initiatives nouvelles apparaissent possibles, et à quelles conditions ? Quelles productions d’énergies durables et locales ont déjà été réalisées par la commune, par les habitants ?;Mardi 29 janvier, 18h30, mairie, 26, rue de Nantes, Saint-Nicolas-de-Redon.;Saint-Nicolas-de-Redon;44;44185;44460;47.64264, -2.068603;2019-01-17;2019-01-29;;;;;2019-01-29;2019-01-29;non;non;;;;;;;;;;;;;;;;;;;;;;;;;;;Petite enfance Loire-Atlantique;;;https://infolocale.ouest-france.fr/saint-nicolas-de-redon-44185/agenda/energies-renouvelables_6414329;;47;Français;fr_FR;;;;
6414431;Spectacle;21;56/Lorient;Théâtre de Lorient;Administration, service public, parapublic;368787;V;Loisir;Concerts, spectacles;Autres scènes;Danse;12;Trisha brown : 3 pièces « Trisha Brown Dance Company »;Danse.;Ce programme associe des pièces dont les univers radicalement différents se répondent et se complètent : contemporain avec Salvatore Sciarrino, baroque avec Jean-Philippe Rameau et modern jazz avec Dave Douglas.;Mardi 29, mercredi 30 janvier, 20h, Grand théâtre, Lorient. Tarif 25€, réduit 10€. Contact et réservation : 02 97 02 22 70.;Lorient;56;56121;56100;47.74757, -3.36458;2019-01-17;2019-01-29;2019-01-30;;;;2019-01-29;2019-01-30;non;oui;25.0;10.0;;http://photos.infolocale.fr/infoLocale/annonce/2019/0117/6414431/_1.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/lorient-56121/agenda/trisha-brown-3-pieces-trisha-brown-dance-company_6414431;;;Français;fr_FR;;;;
6412159;Atelier, activité de loisirs;31;35/Saint-Grégoire;Loisirs solidarité retraités;Association;39029;V;Loisir;Loisirs et sports;Atelier, activité de loisirs;Autre;141;Loisirs solidarité retraités;;Grande rando : Saint-Grégoire 8 km, facile : rendez -vous unique à 14 h parking de la base nautique, écluse Robinson Saint-Grégoire. Responsables, Christine Le Breton et Bruno Gilles.;Jeudi 21 mars, rendez-vous au parking, base nautique écluse Robinson, Saint-Grégoire. Contact : 02 99 78 27 89, lsr.rennes@laposte.net;Saint-Grégoire;35;35278;35760;48.14, -1.69;2019-01-17;2019-03-21;;;;;2019-03-21;2019-03-21;non;non;;;;;;;;;;;;;;;;;;;;;;;;;;;Facebook;;;https://infolocale.ouest-france.fr/saint-gregoire-35278/agenda/loisirs-solidarite-retraites_6412159;;52;Français;fr_FR;;;;
6412128;Atelier, activité de loisirs;31;35/Rennes;Loisirs solidarité retraités;Association;39029;V;Loisir;Loisirs et sports;Atelier, activité de loisirs;Autre;141;Loisirs solidarité retraités;14 h, après-midi récréatifs.;Scrabble, triomino, belote et autres.;Jeudi 21 février, 31, boulevard du Portugal, Rennes. Contact : 02 99 78 27 89, lsr.rennes@laposte.net;Rennes;35;35238;35000;48.08364, -1.66569;2019-01-17;2019-02-21;;;;;2019-02-21;2019-02-21;non;non;;;;;;;;;;;;;;;;;;;;;;;;;;;Facebook;;;https://infolocale.ouest-france.fr/rennes-35238/agenda/loisirs-solidarite-retraites_6412128;;52;Français;fr_FR;;;;
6412365;Randonnée;14;35/Baulon;Baulon sentiers nature;Association;36747;V;Loisir;Loisirs et sports;Sport;Randonnée pédestre;112;Randonnée pédestre;;Baulon sentiers nature organise une randonnée à Bourg-des-Comptes : le circuit du Boschet. Gratuit pour les adhérents, 2,50 € pour les non adhérents. Enfants à partir de 12 ans sous la responsabilité d’au moins un adulte responsable.;Dimanche 17 février, 13h45, parking de la salle polyvalente, rue Philippe, Baulon. Contact et réservation : 07 80 54 93 69, baulon-sentiers-nature@laposte.net;Baulon;35;35016;35580;47.985, -1.93269;2019-01-17;2019-02-17;;;;;2019-02-17;2019-02-17;non;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/baulon-35016/agenda/randonnee-pedestre_6412365;;;Français;fr_FR;;;;
6411148;Sport;24;44/Corcoué-sur-Logne;ES Corcoué tennis de table;Association;382736;V;Loisir;Loisirs et sports;Sport;Match;117;Championnat, la D2 (2) reçoit Saint-Julien, la D4 Les Sorinières;;"Match de championnat à Corcoué ; la D2 2 reçoit Saint-Julien et la D4 reçoit Les Sorinières.";Dimanche 20 janvier, 8h30 à 13h, salle des sports, rue Favet, Corcoué-sur-Logne. Gratuit.;Corcoué-sur-Logne;44;44156;44650;46.96635, -1.57675;2019-01-17;2019-01-20;;;;;2019-01-20;2019-01-20;oui;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/corcoue-sur-logne-44156/agenda/championnat-la-d2-2-recoit-saint-julien-la-d4-les-sorinieres_6411148;;;Français;fr_FR;;;;
