Numéro;Libellé;Description;Quartier;Réalisé;Année_Budget;Lien_page_projet;Photo;Latitude;Longitude;Geolocalisé;Geo
2-648;Un lieu de rencontre et d'échanges par le biais de la cuisine;Le projet consiste à aménager un lieu de rencontre sur le quartier de la Courrouze, de mobiliers de cuisine pour en faire un espace de rencontres et d'échanges;9 - Cleunay - Arsenal - Redon;A l'étude;Budget participatif #2 (2017);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2/collect/depot-des-projets-1/proposals/un-lieu-de-rencontre-et-d-echanges-par-le-biais-de-la-cuisine;;48.098184;-1.703656;O;48.098184,-1.703656
2-455;Création d'une forêt nourricière en ville;"Il s'agit par ce projet de compléter le jardin existant d'un espace de ""forêt nourricière"", toutefois une étude paysagère devra être menée en amont.";5 - Maurepas - Bellangerais;En cours;Budget participatif #2 (2017);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2/collect/depot-des-projets-1/proposals/creation-d-une-foret-nourriciere-en-ville;;48.129596;-1.677265;O;48.129596,-1.677265
2-461;Des fauteuils roulants pour les douches des piscines rennaises;"Les piscines de Bréquigny, des Gayeulles sont équipées de deux ""fauteuils pour la douche"" pour personnes à mobilité réduite et la piscine de Villejean en dispose d'un. Le projet consiste à équiper de 2 fauteuils supplémentaires la piscine de Bréquigny.";;Réalisé;;;;48.12217860000001;-1.704390099999955;O;48.1221786,-1.7043901
2-472;Une coulée verte au Landry;Le projet vise à rendre accessible un espace vert actuellement fermé. Cet espace arboré de plus de 7500 m2 est situé à l’arrière de l’école Châteaugiron-Landry. Cette coulée verte permettrait de créer de nouveaux cheminements cyclistes et piétons pour sécuriser les déplacements.;7 - Francisco Ferrer - Landry - Poterie;Réalisé;Budget participatif #2 (2017);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2/collect/depot-des-projets-1/proposals/une-coulee-verte-au-landry;;48.097466;-1.644575;O;48.097466,-1.644575
2-476;STOP aux déjections canines sous les chaussures;Le projet consiste ici à développer une meilleure signalétique concernant les déjections canines, et les lieux de distribution de sacs.;;Réalisé;Budget participatif #2 (2017);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2/collect/depot-des-projets-1/proposals/les-crottes-c-est-sale-ca-pue-et-c-est-moche;;48.107296;-1.666172;O;48.107296,-1.666172
2-476;STOP aux déjections canines sous les chaussures;Le projet consiste ici à développer une meilleure signalétique concernant les déjections canines, et les lieux de distribution de sacs.;;Réalisé;Budget participatif #2 (2017);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2/collect/depot-des-projets-1/proposals/les-crottes-c-est-sale-ca-pue-et-c-est-moche;;48.113618;-1.690412;O;48.113618,-1.690412
2-476;STOP aux déjections canines sous les chaussures;Le projet consiste ici à développer une meilleure signalétique concernant les déjections canines, et les lieux de distribution de sacs.;;Réalisé;Budget participatif #2 (2017);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2/collect/depot-des-projets-1/proposals/les-crottes-c-est-sale-ca-pue-et-c-est-moche;;48.111045;-1.676662;O;48.111045,-1.676662
2-554;La 1ère champignonnière rennaise!;Il s'agit de créer les conditions pour l'accueil d'une production de champignons sur la Ville. Le localisation reste à déterminer.;;Réalisé;Budget participatif #2 (2017);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2/collect/depot-des-projets-1/proposals/la-1ere-champignonniere-rennaise;;48.117163;-1.677351;O;48.117163,-1.677351
2-636;Mise en place d'une tour à Hirondelles;Le projet prévoit l'implantation d'une tour pour l'accueil des hirondelles, le lieu reste à déterminer.;2 - Thabor - Saint-Hélier - Alphonse Guérin;Réalisé;Budget participatif #2 (2017);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2/collect/depot-des-projets-1/proposals/mise-en-place-d-une-tour-a-hirondelles;;48.113893;-1.66693;O;48.113893,-1.66693
2-652;De l'art en 4x3 !;Avec ce projet, l'ambition est de proposer 3 panneaux complémentaires à ceux déjà installés afin d'apporter une information sur les manifestations et donner plus de visibilité à l'offre artistique à Rennes.;;Réalisé;Budget participatif #2 (2017);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2/collect/depot-des-projets-1/proposals/de-l-art-en-4x3;https://fabriquecitoyenne.rennes.fr/media/default/0001/01/6b8a4c70968ff7969d07c96b5cf776f8fdd687a4.jpeg;48.110365;-1.663327;O;48.110365,-1.663327
2-655;Révéler les Cartoucheries : couvrir pour mieux découvrir…;Il s'agit d'une proposition de réhabilitation des Cartoucheries pour développer un espace collectif sur le quartier.;9 - Cleunay - Arsenal - Redon;A l'étude;Budget participatif #2 (2017);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2/collect/depot-des-projets-1/proposals/reveler-les-cartoucheries-couvrir-pour-mieux-decouvrir;;48.098184;-1.703656;O;48.098184,-1.703656
2-308;Rampe cyclable pour accéder au Canal depuis le boulevard d'Armorique;Le projet a pour but de faciliter l'accès au canal depuis le Boulevard d'Armorique en y installant une rampe. A ce jour, seul un escalier le permet. Cela faciliterait la pratique du vélo et permettrait le passage des poussettes, fauteuils roulants…;4 - Saint Martin;Réalisé;Budget participatif #2 (2017);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2/collect/depot-des-projets-1/proposals/rampe-cyclable-pour-acceder-au-canal-depuis-le-boulevard-d-armorique-1;;48.1292993;-1.680378;O;48.1292993,-1.680378
2-313;Parcs de Street Workout avec bancs publics à pédalier et chargeurs mobiles;Il s'agit de créer un espace de musculation de plein air (Street workout) et d'installer des pédaliers aux pieds des bancs publics qui permettront la production d'électricité pour les portables.;3 - Bourg l'Evesque - La Touche - Moulin du Comte;Réalisé;Budget participatif #2 (2017);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2/collect/depot-des-projets-1/proposals/parcs-de-street-workout-avec-bancs-publics-a-pedalier-et-chargeurs-mobiles;;48.109004;-1.692380;O;48.109004,-1.69238
3-110;Une bulle de verdure pour tous les habitants au centre ville;"Qui connait le square du Pré Perché ? C'est pourtant un espace privilégié de nature au cœur du centre ville, à deux pas de la future station de métro COLOMBIER .

Les aménagements et les adaptations proposés peuvent se résumer comme suit .

--> Aménagement d'un espace jeux de ballons et multisports à l'emplacement de l'espace jeux actuel .
--> Création d'un espace jeux adapté aux grands enfants ( échelles, mur d'escalade,..).
--> Reconstruction d'un espace jeux destiné aux petits enfants .
--> Renouvellement du mobilier ancien et choix des emplacements pour réduire les risques de regroupements nocturnes préjudiciables à la tranquillité des riverains .
--> Réfection de l'accès/sortie côté rue THIERS et mise aux normes handicapés .
--> Rénovation et/ou rafraichissement des parterres dégradés au fil du temps .";1 - Centre;Réalisé;Budget participatif #3 (2018);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-3/collect/depot-des-projets-2/proposals/une-bulle-de-verdure-pour-tous-les-habitants-au-centre-ville-2;;48.106686;-1.681916;O;48.106686,-1.681916
3-416;Place aux jeux et à la convivialité sur une place des containers végétalisée !;"Notre projet est envisagé en cohérence avec les activités et propositions des Ateliers du Vent qui se trouvent au cœur de cette place. Il vise à ouvrir cet espace à l’ensemble des habitants, petits et grands, au travers d’une série de propositions d’aménagements :

Afin de lutter contre le phénomène d’îlot de chaleur urbain, un système de grandes voiles résistantes (type voiles de bateau), montées de façon horizontale le long de câbles soutenus par des mâts (ou accrochés aux bâtiments donnant sur la place), permettrait de créer de l’ombre d’une part, et de se protéger de la pluie d’autre part. Les voiles pourraient se replier sur elles-mêmes quand elles ne sont pas nécessaires, en les faisant glisser le long des câbles. La superposition de plusieurs voiles de couleurs différentes apporterait également une dimension esthétique et chaleureuse à la place.
La place étant actuellement très minérale (pavés, pierre, béton, sable), l’apport d’au moins une dizaine de grands bacs destinés à accueillir plusieurs types d’arbres (dont des fruitiers) permettrait de re-végétaliser la place. Ces bacs seraient déplaçables, afin d’être répartis tout autour de la place, de créer des îlots d’ombre et de fraîcheur l’été, ou par exemple de créer une allée végétalisée lorsque des événements sont organisés sur la place.
Un barbecue en libre-service (à la manière de ceux présents parc des Gayeulles par exemple), afin de contribuer aux rencontres et à la convivialité.
Une bibliothèque de rue afin de rendre la lecture accessible à tou·te·s, de partager la découverte, et d’échanger entre habitant·e·s.
Enfin, il n’y a pas de jeux de proximité pour enfants dans cette partie du quartier, alors même qu’ils sont de plus en plus nombreux (plusieurs immeubles ont été livrés ces trois dernières années et d’autres sont à venir) et en demande. Nous proposons l’élaboration et la création d’une structure, soumise à appel à projets d’artistes, afin d’offrir aux nombreux enfants du quartier un cadre de jeu et d’imagination, sur une place sécurisée par son caractère entièrement piéton. La mobilisation d’artistes sur ce projet ferait écho à la dimension artistique du quartier (Ateliers du Vent, artisans du futur mur habité)";9 - Cleunay - Arsenal - Redon;A l'étude;Budget participatif #3 (2018);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-3/collect/depot-des-projets-2/proposals/place-aux-jeux-et-a-la-convivialite-sur-une-place-des-containers-vegetalisee;;48.102968;-1.696415;O;48.102968,-1.696415
3-553;Végétalisons le centre-ville !;"Le centre-ville de Rennes est jugé gris et minéral par toutes les personnes qui découvrent la Ville, ce constat est largement partagé par les touristes mais aussi par une majorité de Rennais depuis de nombreuses années comme en témoignent régulièrement les consultations auprès des habitants.
Il n'y a en effet pas d’arbres ni de végétation dans la plupart des rues et des places de l’hyper-centre, alors qu'il est parfaitement possible de verdir le centre-ville malgré les contraintes liées à ses rues parfois peu larges (comme cela a été fait il y a plusieurs années dans la partie piétonne de la rue Vasselot) ou à la nécessité de ne pas occulter la lumière pour les riverains, en choisissant les essences d'arbres en fonction de leur croissance, de leur taille, etc …. 
- Champ Libres
- Limite Nord : axe rue St Mélaine - rue d'échange
- Limite Sud : axe Esplanade De Gaulle - Cité Judiciaire
- Limite Est : axe rue Gambetta - avenue Janvier
- Limite Ouest : axe rue de Dinan - boulevard de la TA";1 - Centre;Réalisé;Budget participatif #3 (2018);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-3/collect/depot-des-projets-2/proposals/proposition-sans-titre-12;;48.107209;-1.675521;O;48.107209,-1.675521
7-16;COMMUNE CUISINE !;Créer une cuisine commune pour tous ceux qui souhaitent cuisiner mais qui n’ont pas l’équipement adéquat chez eux (les étudiants, les personnes sans domicile fixe...);Projet à l'échelle de la Ville;Réalisé;Budget participatif #4 (2019);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-4-2/collect/depot-des-projets-3/proposals/comm-une-cuisine;;48.0855448;-1.6518436;O;48.0855448,-1.6518436
7-82;COUVRIR UN BOULODROME;Recouvrir la moitié du boulodrome et changer les baraquements de l’équipement localisé à Bréquigny.;12 - Bréquigny;A l'étude;Budget participatif #4 (2019);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-4-2/collect/depot-des-projets-3/proposals/couvrir-un-boulodrome;;48.0902;-1.6901299999999537;O;48.0902,-1.69013
7-142;Pour une place de la Convivialité! (Métro Clemenceau);Dynamiser la place de la Communauté en appliquant les conclusions de la concertation avec des habitants qui proposent un projet de réaménagement global de la place axé sur la convivialité intergénérationnelle.;8 - Sud gare;A l'étude;Budget participatif #4 (2019);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-4-2/collect/depot-des-projets-3/proposals/pour-une-place-de-la-convivialite-metro-clemenceau-2;;48.092595;-1.675004;O;48.092595,-1.675004
7-158;Remplacer le bitume par bitume végétal : Végécol ou autre;Sur les nouveaux aménagements, utiliser des revêtements plus esthétiques et moins polluants que le bitume.;Projet à l'échelle de la Ville;Réalisé;Budget participatif #4 (2019);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-4-2/collect/depot-des-projets-3/proposals/remplacer-le-bitume-par-bitume-vegetal-vegecol-ou-autre;;48.097394;-1.717135;O;48.097394,-1.717135
7-198;Sécuriser l'accès à l'école Marcel Pagnol sur l'avenue Général Leclerc;Matérialisation d’un passage piéton pour sécuriser un accès à l’école Marcel Pagnol.;6 - Jeanne d'Arc - Longs Champs -  Beaulieu;A l'étude;Budget participatif #4 (2019);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-4-2/collect/depot-des-projets-3/proposals/securiser-lacces-a-lecole-marcel-pagnol-sur-lavenue-general-leclerc;;48.1155698;-1.6525787;O;48.1155698,-1.6525787
7-199;Développer les activités sportives au stade courtemanche;Repenser l’aménagement du stade Courtemanche en créant un terrain multi-sports.;6 - Jeanne d'Arc - Longs Champs -  Beaulieu;A l'étude;Budget participatif #4 (2019);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-4-2/collect/depot-des-projets-3/proposals/developper-les-activites-sportives-au-stade-courtemanche;;48.1195497;-1.6603723;O;48.1195497,-1.6603723
7-307;Stop au gaspillage d'eau potable;Le projet prévoit l’expérimentation d’un double circuit de gestion de l’eau en ajoutant un circuit de récupération de l’eau de pluie pour les chasses d’eau des bâtiments publics et WC publics.;Projet à l'échelle de la Ville;A l'étude;Budget participatif #4 (2019);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-4-2/collect/depot-des-projets-3/proposals/stop-au-gaspillage-deau-potable;;;;N;
7-378;UN CŒUR DE QUARTIER A ST MARTIN, une petite Place pour une grande ambition;Le projet consiste à restructurer le parvis afin de devenir un lieu de vie pour les habitants du quartier.;4 - Saint Martin;A l'étude;Budget participatif #4 (2019);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-4-2/collect/depot-des-projets-3/proposals/un-coeur-de-quartier-a-st-martin-une-petite-place-pour-une-grande-ambition;;;;;
7-505;Clemenceau, agir ensemble pour un boulevard zen !;Il s’agit de sécuriser le boulevard Clemenceau (aménagements pour baisser la vitesse des automobilistes, sécuriser les usager du boulevard : piétons, cyclistes..) et de proposer dans un second temps une concertation dans le but d’aboutir sur cette artère la programmation d’un projet urbain de qualité en tenant compte des avis du plus grand nombre.;12 - Bréquigny;A l'étude;Budget participatif #4 (2019);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-4-2/collect/depot-des-projets-3/proposals/proposition-sans-titre-25;;48.0933212;-1.6764075;O;48.0933212,-1.6764075
1-188;Transats publics;Installation de cinq transats sur le quai Saint-Cyr.;3 - Bourg l'Evesque - La Touche - Moulin du Comte;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/installation-de-transats-publics;https://fabriquecitoyenne.rennes.fr/media/default/0001/02/972368b3757f5b2512531d4b0a7992b2c9d158ab.jpeg;48.108003;-1.691538;O;48.108003,-1.691538
1-297;Mettre en valeur le Lavoir de Chézy;"Le projet consiste à maintenir le patrimoine
rennais, valoriser la vie
culturelle, entrer dans
le projet de valorisation
des berges à Rennes
et favoriser le lien social.";1 - Centre;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/mettre-en-valeur-le-lavoir-de-chezy;https://fabriquecitoyenne.rennes.fr/media/default/0001/01/a84116dd2f57aaa058cdf23cccd633e40968d6f7.jpeg;48.119503;-1.682244;O;48.119503,-1.682244
1-316;Installation de bancs le long de la rue Canal Saint Martin;Installation de bancs et de tables de pique-nique le long du canal.;4 - Saint Martin;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/installation-de-bancs-le-long-de-la-rue-canal-saint-martin;https://fabriquecitoyenne.rennes.fr/media/default/0001/02/8763c67415c65b64363f6ed8c84a944736f96eea.jpeg;48.124176;-1.674369;O;48.124176,-1.674369
1-362;Pose de cendriers de rue;Mise en place de cendriers de rue.;1 - Centre;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/pose-de-cendriers-de-rue;https://fabriquecitoyenne.rennes.fr/media/default/0001/02/9a71c3eab595356bd9ec2ec356c9669093c020d7.jpeg;48.111252;-1.671514;O;48.111252,-1.671514
1-364;"Pose de bancs publics et chaises fixées au sol
Rue Thiers";Il s'agit de renforcer la présence de bancs sur l'espace public, adaptés aux personnes âgées et en situation de handicap.;;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/pose-de-bancs-publics-et-chaises-fixees-au-sol;;48.106526;-1.683778;O;48.106526,-1.683778
1-604;Dessiner des marelles et des jeux sur les trottoirs et places de la ville;Création de 24 marelles, soit deux par quartier, pour permettre aux enfants de jouer dehors dans tout endroit.;;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/dessiner-des-marelles-et-des-jeux-sur-les-trottoirs-et-places-de-la-ville;https://fabriquecitoyenne.rennes.fr/media/default/0001/02/2915db06294037fc724500ba2e1ea79349ccf694.jpeg;48.113358;-1.666595;O;48.113358,-1.666595
1-604;"Dessiner des marelles et des jeux sur les trottoirs et places de la ville
allée Jean Guihéry";Création de 24 marelles, soit deux par quartier, pour permettre aux enfants de jouer dehors dans tout endroit.;;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/dessiner-des-marelles-et-des-jeux-sur-les-trottoirs-et-places-de-la-ville;https://fabriquecitoyenne.rennes.fr/media/default/0001/02/2915db06294037fc724500ba2e1ea79349ccf694.jpeg;48.11485;-1.686018;O;48.11485,-1.686018
