b_numero,b_libelle,b_description,b_realise,b_lien,b_photo,b_year,b_q_id,b_quartier,b_x,b_y
1-572,"table de pique -nique aménagés
Parc de Maurepas",Installation de tables de pique-nique adaptées aux personnes à mobilité réduite parc de Maurepas et parc des Gayeulles.,Réalisé,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/table-de-pique-nique-amenages,https://fabriquecitoyenne.rennes.fr/media/default/0001/02/0c63ec87bd53149bc9bfeacd02f479ce5ef5c874.jpeg,2016,,,-184260.9192186213,6127332.094943793
1-615,Créer un poulailler dans le jardin des Ormeaux,"Au parc des Ormeaux, mise en place d'un poulailler collectif avec l'association Jardins (ou) Verts et d'un composteur.",Réalisé,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/creer-un-poulailler-dans-le-jardin-des-ormeaux,https://fabriquecitoyenne.rennes.fr/media/default/0001/02/1d6ecb86e9592646c64ced82c350646bc0252f71.jpeg,2016,8.0,Sud gare,-185777.64728067967,6123529.094409415
1-624,Création de jardins partagés ou bacs potagers square de Setubal,Création de jardins partagés ou bacs potagers dans le square et mise en place de bacs composteurs,Réalisé,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/creation-de-jardins-partages-ou-bacs-potagers-square-de-setubal,https://fabriquecitoyenne.rennes.fr/media/default/0001/01/64b7a48b3f3edebe96ef81da5aace2ad0dfb4b98.jpeg,2016,11.0,Le Blosne,-185711.52350314846,6120952.483011764
1-664,Éolienne Urbaine,"Mise en place d'éoliennes végétale, urbaine, de petite taille, utilisant les vents dominant d'ouest.",A l'étude,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/eolienne-urbaine-1,,2016,3.0,Bourg l'Evesque - La Touche - Moulin du Comte,,
1-710,"Installer des ""boîtes de partage"" ou Givebox dans plusieurs quartiers de la ville",Installation de boîtes de partage en libre-service sur l'espace public à proximité du Centre social de Cleunay.,Réalisé,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/installer-des-boites-de-partage-ou-givebox-dans-plusieurs-quartiers-de-la-ville,,2016,,,-190328.05410583632,6123741.791126805
1-716,Élargir la piste piéton/cycle au niveau de la jonction entre l'Ille et le Canal; Boulevard de Chézy,Élargissement de la piste en amont et en aval et fonctionnement en logique de sas,Réalisé,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/elargir-la-piste-pieton-cycle-au-niveau-de-la-jonction-entre-l-ille-et-le-canal-boulevard-de-chezy,https://fabriquecitoyenne.rennes.fr/media/default/0001/01/18e1b23f329d5f2f9669dea0b45864de45a477b2.jpeg,2016,4.0,Saint Martin,-187845.9634196187,6125982.761862941
1-745,"Permettre aux Rennais, en situation de mobilité réduite fonctionnelle ou casuelle, d'emprunter toutes les rues du centre-ville",,Réalisé,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/permettre-aux-rennais-en-situation-de-mobilite-reduite-fonctionnelle-ou-casuelle-d-emprunter-toutes-les-rues-du-centre-ville,,2016,1.0,Centre,,
1-787,Frigo Mix,"Porté par l'association Bug, l'objectif est d'installer 12 frigos, ou garde-manger pour que les  habitants y déposent les aliments qu'ils ne consomment pas, au lieu de les jeter. Et chacun pourra se servir.",Réalisé,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/frigo-mix,,2016,,,-186054.88847249965,6124690.806194016
1-823,Des parkings vélo au pied des immeubles,Installation de supports vélos en prenant en compte la proximité des immeubles.,Réalisé,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/des-parkings-velo-au-pied-des-immeubles,,2016,,,-185714.1951709275,6123525.92733517
2-461,Des fauteuils roulants pour les douches des piscines rennaises,"Les piscines de Bréquigny, des Gayeulles sont équipées de deux ""fauteuils pour la douche"" pour personnes à mobilité réduite et la piscine de Villejean en dispose d'un. Le projet consiste à équiper de 2 fauteuils supplémentaires la piscine de Bréquigny.",Réalisé,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2/collect/depot-des-projets-1/proposals/des-fauteuils-roulants-pour-les-douches-des-piscines-rennaises,,2017,,,-188201.10599108867,6121662.44046392
2-476,STOP aux déjections canines sous les chaussures,"Le projet consiste ici à développer une meilleure signalétique concernant les déjections canines, et les lieux de distribution de sacs.",Réalisé,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2/collect/depot-des-projets-1/proposals/les-crottes-c-est-sale-ca-pue-et-c-est-moche,,2017,,,-184826.19959286955,6124610.968788195
2-476,STOP aux déjections canines sous les chaussures,"Le projet consiste ici à développer une meilleure signalétique concernant les déjections canines, et les lieux de distribution de sacs.",Réalisé,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2/collect/depot-des-projets-1/proposals/les-crottes-c-est-sale-ca-pue-et-c-est-moche,,2017,,,-188377.51398815657,6125446.722746357
2-476,STOP aux déjections canines sous les chaussures,"Le projet consiste ici à développer une meilleure signalétique concernant les déjections canines, et les lieux de distribution de sacs.",Réalisé,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2/collect/depot-des-projets-1/proposals/les-crottes-c-est-sale-ca-pue-et-c-est-moche,,2017,,,-186261.21914868566,6120658.038649442
2-477,Un musée des Beaux-Arts à ciel ouvert sur les murs des quartiers rennais,La proposition est de permettre des reproductions d'œuvres des collections du Musée des beaux-Arts de Rennes sur les murs de la Ville.,Réalisé,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2/collect/depot-des-projets-1/proposals/un-musee-des-beaux-arts-a-ciel-ouvert-sur-les-murs-des-quartiers-rennais,,2017,,,-185378.0103087318,6122490.406824687
2-125,Un jardin japonais à Rennes,Ce projet consiste à créer un jardin japonais et ainsi valoriser le jumelage  de Rennes avec Sendai.,Réalisé,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2/collect/depot-des-projets-1/proposals/amenagements-d-espaces-en-jardins-symboliques,https://fabriquecitoyenne.rennes.fr/media/default/0001/01/23a3864bc3b32422ec86ec10c28d04e610a1fe3f.jpeg,2017,5.0,Maurepas - Bellangerais,-184087.9287299286,6128933.66163215
2-596,Sécuriser les bandes cyclables,Le projet consistera à réaliser des aménagements pour conforter la sécurité des cyclistes et des deux roues motorisés. Des expérimentations seront mises en œuvre sur des tronçons à définir.,Réalisé,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2/collect/depot-des-projets-1/proposals/securiser-les-bandes-cyclables,,2017,,,-186188.86147967,6124835.529017606
2-306,"Piste Cyclable en couleurs"" et / ou "" Fluorescente",La création de pistes cyclables fluorescentes ou en couleurs peut être réalisée à titre expérimental pour vérifier le comportement de ce nouveau matériau avant un déploiement à l'échelle de la Ville.,A l'étude,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2/collect/depot-des-projets-1/proposals/piste-cyclable-en-couleurs-et-ou-fluorescente,,2017,,,,
3-152,Ensemble pour la rénovation du skate bowl des longchamps,"Le skate bowl des Lonchamps est fatigué et un peu délaissé par les riders et les habitants du quartier.

Faisons lui un lifting, tout en le rendant accessible aux familles du quartier et à tous les amateurs de glisses urbaines de Rennes (skate, trotinnette, roller, bmx). Pour cela, il faut adoucir les pentes du bowl, diminuer la surface du plat dans le fond, faciliter l'entrée dans le bowl et bien entendu refaire un béton bien lisse. En complément, pour les débutants et les plus jeunes à trotinnette, un plus petit bowl peu profond serait aménagé au dessus du bowl principal en épousant le relief en pente.

Le tout sera agrémenté d'équipements publics : bancs, éclairage, poubelles à tri sélectif.",En cours,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-3/collect/depot-des-projets-2/proposals/ensemble-pour-la-renovation-du-skate-bowl-des-longchamps-1,,2018,6.0,Jeanne d'Arc - Longs Champs -  Beaulieu,,
3-255,Un jardin chinois à Rennes,"Le jardin en Chine est un lieu de divertissement et de contemplation, où nature et culture sont étroitement imbriquées. C'est comme ici un lieu de vie, les habitants s'y rendent pour y pratiquer toutes sortes d'activités, de la musique au sport, de la calligraphie à la méditation.
Le projet est de créer un jardin chinois à Rennes, qui soit un lieu vivant de culture, et d'abord un espace arboré et planté, mais aussi bâti, qui pourrait comporter les éléments suivants :
• horticulture et botanique puisque ce jardin comportera des espèces typiquement chinoises et asiatiques, symboles d'autant de vertus (la sobriété et la force de caractère du bambou, la pureté du lotus, la richesse de la pivoine ou de la chrysanthème, la sagesse du pin, la sophistication du prunier...) et qui rythment les saisons par leurs floraisons alternées. Cet aspect pourra donner lieu à des découvertes, balades, visites spécifiques, à des ateliers de peinture ou de dessin.
• une plantation de thé : boisson originaire de Chine la plus répandue au monde, le ""camélia sinensis"" ou théier est une plante robuste qui s'adapte à tous les climats, comme l'ont montré plusieurs plantations en Finistère, à Nantes ou au Royaume-Uni. Pour une première à Rennes, la culture de cette plante pourra donner lieu avec l'association Les Agithés à de nombreuses animations : récolte, transformation, dégustations...
• découverte de l'architecture puisque le jardin chinois comporte toujours des éléments bâtis - pavillons, rochers, galeries... qui permettent d'accueillir des activités spécifiques. Coins et recoins qui feront le bonheur des enfants
• l'eau est un élément capital du jardin chinois, avec ses carpes symboles de longévité, sa circulation symbole de la vie, et les plantes qu'elle accueille, en particulier les lotus. L'eau qui circule dans un jardin chinois est aussi le prétexte à des jeux poétiques.
• des espaces plus ouverts permettant d'accueillir les activités des pratiquants d'arts martiaux (taichi, qigong...), d'initiation à la calligraphie éphémère à l'eau, ou à la méditation

L'idée de proposer ce jardin au sein du parc de Maurepas est motivé par plusieurs raisons :
- ce parc fréquenté par les habitants du quartier ne l'est pas forcément par les Rennais alors qu'il comporte déjà plusieurs espaces : pelouses, aires de jeux pour les enfants, espaces arborés...
- la diversité du quartier où il se trouve
- techniques par sa superficie, sa géographie et le fait qu'il est déjà équipé d'une circulation d'eau aujourd'hui en désuétude.

Mais nous sommes ouverts à toute autre proposition !",A l'étude,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-3/collect/depot-des-projets-2/proposals/un-jardin-chinois-a-rennes,,2018,6.0,Jeanne d'Arc - Longs Champs -  Beaulieu,,
3-314,Revalorisation de la place du Souvenir - Marché Sainte-Thérèse : Pour un espace chaleureux au quotidien.,"La place du Souvenir, plus connue pour être le lieu où se déroule le marché Sainte-Thérèse, premier marché rennais, accueille tous les mercredis matins un grand nombre de marchands. Passé ce moment fort, dynamique et haut en couleurs, la place redevient un simple parking limitant l'opportunité de rencontres nécessaires à la vie de quartier.
 
Cette proposition de projet vise à rendre la place vivante et chaleureuse afin de répondre aux besoins exprimés par les habitants, les commerçants ainsi que les marchands au travers de questionnaires et d'ateliers collectifs.",En cours,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-3/collect/depot-des-projets-2/proposals/revalorisation-de-la-place-du-souvenir-marche-sainte-therese-pour-un-espace-chaleureux-au-quotidien,,2018,8.0,Sud gare,-185136.11305523803,6122540.857360508
3-357,Création de toilettes publiques près de la station de métro Villejean Université,Création de toilettes publiques près de la station de métro Villejean-Université,A l'étude,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-3/collect/depot-des-projets-2/proposals/creation-de-toilettes-publiques-pres-de-la-station-de-metro-villejean-universite-1,,2018,10.0,Villejean - Beauregard,,
3-414,Jeu urbain monumental et participatif,"Création de mobiliers urbains, un espace social monumental & participatif.

Création d'un espace convivial où toutes les générations et tous les habitants du quartier peuvent se retrouver.
L'installation sera créée à partir de l’expérience des habitants du quartier.
Proposition de lieu : secteur ""Grande Prairie"" à La Courrouze.

Inspirée d'une expérience menée en 2016 et 2017 avec les habitants d'Houdain, dans le Nord Pas de Calais, ce jeu monumental et participatif sera implanté dans le quartier de La Courrouze en lien avec la nouvelle école et les aménagements déjà prévus dans le secteur ""Grande prairie"". Une grande partie du projet est à inventer avec les habitants afin qu'ils s'approprient ce nouvel espace public.
L'association Electroni[k] propose ce projet pour le secteur ""Grande Prairie"" qui pourrait accueillir ce dispositif même si cela reste à définir avec les habitants et l'aménageur Territoires & Développement.
Une action menée par Bruit du Frigo (http://www.bruitdufrigo.com/) et en lien avec l'artiste graphique Guillaumit.",A l'étude,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-3/collect/depot-des-projets-2/proposals/invention-d-un-mobilier,,2018,9.0,Cleunay - Arsenal - Redon,,
3-513,"Cocoon, un abri pour les sans abri !","A Rennes, comme ailleurs, les sans abri sont de plus en plus nombreux. Il existe des solutions mais elles ne répondent pas à l'ensemble de la demande.

Cocoon est conçu par une association sans but lucratif et reconnue d'intérêt général, elle a reçu un prix de l’innovation sociale, le soutien de la fondation pour le lien social de la Croix Rouge française. Ce projet a été retenu en 2016 parmi les 3000 projets proposés au budget participatif de la Mairie de Paris.

Cocoon est sécurisé, climatisé, intégré dans la mixité urbaine et dispose d’un lit, d’une table, de rangements, de toilettes sèches, d’un point d’eau et d’un espace pour un animal. Cocoon a été élaboré avec des travailleurs sociaux, des anciens sans-abris, pour répondre aux objections des sans abri qui refusent les foyers. Cocoon s’insère parfaitement dans l’espace urbain car son aspect extérieur s’inspire des kiosques à journaux. Il occupe une surface au sol équivalente à un petit abri de bus.

Dans la métropole de Montpellier un refuge urbain appelé « Cocoon » est expérimenté, une première personne a pu être hébergée pendant quelques mois et aujourd'hui elle entreprend un nouveau départ dans sa vie.

Rennes pourrait accueillir plusieurs Cocoon, jamais plus d'un par quartier pour permettre une intégration optimale. C'est donc un projet rapide à décliner, solide efficace et construit, déjà soutenu par les travailleurs sociaux.",A l'étude,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-3/collect/depot-des-projets-2/proposals/cocoon-un-abri-pour-les-sans-abri-1,,2018,,,,
7-86,Bibliothèques pour tous dans le métro,"Création de petites bibliothèques à chaque station de métro, agrémentées chaque année par les productions des étudiants du master Édition.",A l'étude,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-4-2/collect/depot-des-projets-3/proposals/bibliotheques-pour-tous-dans-le-metro,,2019,,,,
7-177,Projet d’aménagement de gradinages  « Théâtre de verdure du Landry »,"Création de gradins en bois ou pierre, en bas de l’anneau de verdure face à l’Arc, pour permettre l’assise d’une quarantaine de personnes. Le lieu sera ainsi rendu accessible pour tous les âges (notamment
les plus âgés), mais aussi de pouvoir l’utiliser après une averse. En complément, amélioration de la signalétique du site avec un fléchage à partir des entrées du parc du Landry et un panneau d’affichage sur le théâtre. Mise à disposition, sous clé d’une alimentation électrique.",Réalisé,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-4-2/collect/depot-des-projets-3/proposals/projet-damenagement-de-gradinages-theatre-de-verdure-du-landry,,2019,7.0,Francisco Ferrer - Landry - Poterie,-183503.1674447915,6123244.445785633
7-257,Une passerelle végétalisée au dessus du Canal.,Créer une passerelle végétalisée entre le boulevard de Chézy et le boulevard de Lattre de Tassigny pour permettre une déambulation plus agréable entre le centre-ville et le quartier de la Touche.,A l'étude,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-4-2/collect/depot-des-projets-3/proposals/une-passerelle-vegetalisee-au-dessus-du-canal,,2019,3.0,Bourg l'Evesque - La Touche - Moulin du Comte,,
7-270,Réfection place 8 mai 1945,Travaux de remise à neuf de la place du centre commercial de la Héronnière.,A l'étude,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-4-2/collect/depot-des-projets-3/proposals/refection-place-8-mai-1945,,2019,5.0,Maurepas - Bellangerais,-184345.0433578138,6129462.229353118
7-316,Plus BELLangerais : Revitalisons notre place de quartier,Réaménagement de l’espace public devant la Maison de Quartier et la bibliothèque afin de permettre des échanges multigénérationnels.,A l'étude,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-4-2/collect/depot-des-projets-3/proposals/plus-bellangerais-revitalisons-notre-place-de-quartier,,2019,5.0,Maurepas - Bellangerais,-185823.57770258098,6129232.794029498
7-323,Le chemin des oiseaux,Le projet consiste à réaliser un aménagement paysager permettant à la faune et à la flore aquatique de se déplacer sur une partie ou sur la totalité des cours d’eau rennais.,A l'étude,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-4-2/collect/depot-des-projets-3/proposals/le-chemin-des-oiseaux,,2019,10.0,Villejean - Beauregard,,
7-341,LUMIÈRE SOUS RÉPUBLIQUE !,"Mettre en valeur le patrimoine fluvial et architectural du centre-ville en proposant un éclairage à l’entrée du pont de la Vilaine sur les quais. Ces lumières LED basse consommation pourraient varier de couleur et/
ou s’allumer alternativement afin de créer un effet de mouvement.",A l'étude,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-4-2/collect/depot-des-projets-3/proposals/lumiere-sous-republique,,2019,1.0,Centre,-186749.1213448835,6125149.256348009
7-363,Réaménagement des extérieurs de la maison de quartier de Sainte-Thérèse (côté rue et jardin),"Création d’un espace convivial, d’un jardin participatif et agrandissement de l’espace réservés aux déplacements doux de la maison de quartier Sainte-Thérèse.",A l'étude,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-4-2/collect/depot-des-projets-3/proposals/reamenagement-des-exterieurs-de-la-maison-de-quartier-de-sainte-therese-cote-rue-et-jardin,,2019,8.0,Sud gare,-186000.87625556742,6123195.174547228
7-389,Au bord de l'eau,"Installer des pontons sur la Vilaine à proximité de la fontaine Maginot. Pour pouvoir bénéficier d’espaces au bord de l’eau pour flâner, se reposer…",A l'étude,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-4-2/collect/depot-des-projets-3/proposals/au-bord-de-leau,,2019,2.0,Thabor - Saint-Hélier - Alphonse Guérin,,
1-40,Pompe à vélo et petits outils.,Installation de pompes à vélo et petits outils aux abords de centres commerciaux.,Réalisé,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/pompe-a-velo-et-petits-outils,https://fabriquecitoyenne.rennes.fr/media/default/0001/02/32dcb0a50e396fabc2fd1fcde4560d0331221342.jpeg,2016,,,-187739.98726438347,6125161.960396251
1-110,Aménager la vie de la Vilaine,"Des équipements sportifs, d’une table de pique-nique, de bancs et de corbeilles ont été installés au bord de la Vilaine.",Réalisé,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/amenager-la-vie-de-la-vilaine,https://fabriquecitoyenne.rennes.fr/media/default/0001/02/972368b3757f5b2512531d4b0a7992b2c9d158ab.jpeg,2016,,,-184826.19959286955,6124610.968788195
1-110,"Aménager la vie de la Vilaine
Table pique-nique - Pont Malakoff","Des équipements sportifs, d’une table de pique-nique, de bancs et de corbeilles ont été installés au bord de la Vilaine.",Réalisé,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/amenager-la-vie-de-la-vilaine,https://fabriquecitoyenne.rennes.fr/media/default/0001/02/972368b3757f5b2512531d4b0a7992b2c9d158ab.jpeg,2016,,,-188566.75712250514,6124738.835695471
1-146,Fresque murale sous le pont de Nantes,"Installation d'une fresque murale mêlant artistes et habitants sous le pont de Nantes, réalisée par la Crémerie.",Réalisé,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/fresque-murale-sous-le-pont-de-nantes,https://fabriquecitoyenne.rennes.fr/media/default/0001/02/17516e15da36525f20fd4309183c0ff173841728.jpeg,2016,8.0,Sud gare,-187525.69724460642,6123771.629097977
1-204,Piste cyclable de la rue de Saint-Malo,"Ce projet consiste au  renforcement du marquage au sol rue de Saint-Malo, effectué à l'intersection trottoir piéton/ piste cyclable.",Réalisé,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/piste-cyclable-de-la-rue-de-saint-malo,https://fabriquecitoyenne.rennes.fr/media/default/0001/01/9360eb03e4ceb986bf903c0d91ea1d8991ff9927.jpeg,2016,1.0,Centre,-187100.01151181295,6126497.491018145
1-350,Esplanade Général de Gaulle jardin participatif,"Le projet consiste au  réaménagement de l'esplanade du Champs de Mars, cette allée végétalisée qui court du boulevard Magenta jusqu'à la rue de l'Alma, en passant derrière les Champs Libres. Tout le long de l'esplanade, sera aménagé : une aire de jeux pour enfants, une aire de jeux pour les grands (palets et boules), des espaces pour pique-niquer, un jardin partagé.",Réalisé,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/esplanade-general-de-gaulle-jardin-participatif,https://fabriquecitoyenne.rennes.fr/media/default/0001/01/b7c24b2bc71c9bcbadb44a87e419e33eee757961.jpeg,2016,1.0,Centre,-186405.60052824454,6124298.228044371
1-356,Davantage de toilettes publics dans le centre ville.,Installation de nouvelles toilettes publiques.,Réalisé,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/davantage-de-toilettes-publics-dans-le-centre-ville,,2016,1.0,Centre,-187284.4679080574,6125868.715273283
1-362,Pose de cendriers de rue,Mise en place de cendriers de rue.,Réalisé,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/pose-de-cendriers-de-rue,https://fabriquecitoyenne.rennes.fr/media/default/0001/02/9a71c3eab595356bd9ec2ec356c9669093c020d7.jpeg,2016,1.0,Centre,-186676.10689087218,6126051.290587812
1-362,Pose de cendriers de rue,Mise en place de cendriers de rue.,Réalisé,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/pose-de-cendriers-de-rue,https://fabriquecitoyenne.rennes.fr/media/default/0001/02/9a71c3eab595356bd9ec2ec356c9669093c020d7.jpeg,2016,1.0,Centre,-186828.61459325894,6125578.436870713
